index,actual,consensus,country,day,forecast,hour,indicator,label,period,previous,previous_revised,source
54,"{""value"": 0.6, ""uom"": ""%""}","{""value"": 0.6, ""uom"": ""%""}",US,2018-12-14,"{""value"": 0.2, ""uom"": ""%""}",05:00 PM,Business Inventories MoM,0,OCT,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""Previousrevisedfrom""}",te
55,null,null,EA,2018-12-14,null,,Eurogroup Meeting,0,,null,null,te
56,"{""value"": -98000.0, ""uom"": ""\u00a5""}",null,JP,2018-12-14,null,20:30,CFTC JPY NC net positions,0,,"{""value"": -109800.0, ""uom"": ""\u00a5""}",null,fxs
57,"{""value"": -42000.0, ""uom"": ""\u00a3""}",null,UK,2018-12-14,null,20:30,CFTC GBP NC net positions,0,,"{""value"": -39800.0, ""uom"": ""\u00a3""}",null,fxs
58,"{""value"": -56000.0, ""uom"": ""\u20ac""}",null,EA,2018-12-14,null,20:30,CFTC EUR NC net positions,0,,"{""value"": -60800.0, ""uom"": ""\u20ac""}",null,fxs
59,"{""value"": 46000.0, ""uom"": ""$""}",null,AU,2018-12-14,null,20:30,CFTC AUD NC net positions,0,,"{""value"": -50800.0, ""uom"": ""$""}",null,fxs
60,"{""value"": 873.0, ""uom"": null}",null,US,2018-12-14,null,18:00,Baker Hughes US Oil Rig Count,0,,"{""value"": 877.0, ""uom"": null}",null,fxs
61,"{""value"": 53.6, ""uom"": null}",null,US,2018-12-14,null,14:45,Markit PMI Composite (Dec),0,,"{""value"": 54.7, ""uom"": null}",null,fxs
62,"{""value"": 53.4, ""uom"": null}","{""value"": 54.7, ""uom"": null}",US,2018-12-14,null,14:45,Markit Services PMI (Dec),0,,"{""value"": 54.7, ""uom"": null}",null,fxs
63,"{""value"": 53.9, ""uom"": null}","{""value"": 55.1, ""uom"": null}",US,2018-12-14,null,14:45,Markit Manufacturing PMI (Dec),0,,"{""value"": 55.3, ""uom"": null}",null,fxs
64,"{""value"": 78.5, ""uom"": ""%""}","{""value"": 78.6, ""uom"": ""%""}",US,2018-12-14,null,14:15,Capacity Utilization (Nov),0,,"{""value"": 78.1, ""uom"": ""%""}",null,fxs
65,"{""value"": 0.6, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",US,2018-12-14,null,14:15,Industrial Production (MoM) (Nov),0,,"{""value"": -0.2, ""uom"": ""%""}",null,fxs
66,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-12-14,null,13:30,Retail Sales ex Autos (MoM) (Nov),0,,"{""value"": 1.0, ""uom"": ""%""}",null,fxs
67,"{""value"": 0.9, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",US,2018-12-14,null,13:30,Retail Sales control group (Nov),0,,"{""value"": 0.7, ""uom"": ""%""}",null,fxs
68,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-12-14,null,13:30,Retail Sales (MoM) (Nov),0,,"{""value"": 1.1, ""uom"": ""%""}",null,fxs
69,"{""value"": 1.6, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",IT,2018-12-14,null,10:00,Consumer Price Index (EU Norm) (MoM) (Nov),0,,"{""value"": 1.6, ""uom"": ""%""}",null,fxs
70,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",IT,2018-12-14,null,10:00,Consumer Price Index (MoM) (Nov),0,,"{""value"": -0.2, ""uom"": ""%""}",null,fxs
71,"{""value"": 1.6, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",IT,2018-12-14,null,10:00,Consumer Price Index (YoY) (Nov),0,,"{""value"": 1.6, ""uom"": ""%""}",null,fxs
72,"{""value"": 2.5, ""uom"": ""%""}",null,EA,2018-12-14,null,10:00,Labour cost (Q3),0,,"{""value"": 2.2, ""uom"": ""%""}",null,fxs
73,"{""value"": 51.4, ""uom"": null}","{""value"": 53.5, ""uom"": null}",EA,2018-12-14,null,09:00,Markit Services PMI (Dec),0,,"{""value"": 53.4, ""uom"": null}",null,fxs
74,"{""value"": 51.4, ""uom"": null}","{""value"": 51.9, ""uom"": null}",EA,2018-12-14,null,09:00,Markit Manufacturing PMI (Dec),0,,"{""value"": 51.8, ""uom"": null}",null,fxs
75,"{""value"": 2.0, ""uom"": ""%""}",null,IT,2018-12-14,null,09:00,Industrial Orders n.s.a (YoY) (Sep),0,,"{""value"": -1.0, ""uom"": ""%""}",null,fxs
76,"{""value"": 2.0, ""uom"": ""%""}",null,IT,2018-12-14,null,09:00,Industrial Sales n.s.a. (YoY) (Sep),0,,"{""value"": 3.9, ""uom"": ""%""}",null,fxs
77,"{""value"": -0.3, ""uom"": ""%""}",null,IT,2018-12-14,null,09:00,Industrial Orders s.a (MoM) (Sep),0,,"{""value"": -3.1, ""uom"": ""%""}",null,fxs
78,"{""value"": -0.5, ""uom"": ""%""}",null,IT,2018-12-14,null,09:00,Industrial Sales s.a. (MoM) (Sep),0,,"{""value"": 0.0, ""uom"": ""%""}",null,fxs
79,"{""value"": 52.5, ""uom"": null}","{""value"": 53.4, ""uom"": null}",DE,2018-12-14,null,08:30,Markit Services PMI (Dec),0,,"{""value"": 53.3, ""uom"": null}",null,fxs
80,"{""value"": 51.5, ""uom"": null}","{""value"": 52.0, ""uom"": null}",DE,2018-12-14,null,08:30,Markit Manufacturing PMI (Dec),0,,"{""value"": 51.8, ""uom"": null}",null,fxs
81,"{""value"": 49.7, ""uom"": null}","{""value"": 50.7, ""uom"": null}",FR,2018-12-14,null,08:15,Markit Manufacturing PMI (Dec),0,,"{""value"": 50.8, ""uom"": null}",null,fxs
82,"{""value"": 49.6, ""uom"": null}","{""value"": 54.8, ""uom"": null}",FR,2018-12-14,null,08:15,Markit Services PMI (Dec),0,,"{""value"": 55.1, ""uom"": null}",null,fxs
83,"{""value"": 1.7, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",ES,2018-12-14,null,08:00,Consumer Price Index (YoY) (Nov),0,,"{""value"": 1.7, ""uom"": ""%""}",null,fxs
84,"{""value"": -0.1, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",ES,2018-12-14,null,08:00,Consumer Price Index (MoM) (Nov),0,,"{""value"": -0.1, ""uom"": ""%""}",null,fxs
85,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",ES,2018-12-14,null,08:00,HICP (MoM) (Nov),0,,"{""value"": -0.2, ""uom"": ""%""}",null,fxs
86,"{""value"": 1.7, ""uom"": ""%""}","{""value"": 1.7, ""uom"": ""%""}",ES,2018-12-14,null,08:00,HICP (YoY) (Nov),0,,"{""value"": 1.7, ""uom"": ""%""}",null,fxs
87,"{""value"": 0.2, ""uom"": ""%""}",null,DE,2018-12-14,null,07:00,Wholesale Price Index (MoM) (Nov),0,,"{""value"": 0.3, ""uom"": ""%""}",null,fxs
88,"{""value"": 3.5, ""uom"": ""%""}",null,DE,2018-12-14,null,07:00,Wholesale Price Index (YoY) (Nov),0,,"{""value"": 4.0, ""uom"": ""%""}",null,fxs
89,"{""value"": 4.0, ""uom"": ""%""}",null,JP,2018-12-14,null,04:30,Capacity Utilization (Oct),0,,"{""value"": -1.5, ""uom"": ""%""}",null,fxs
90,"{""value"": 2.9, ""uom"": ""%""}","{""value"": 2.9, ""uom"": ""%""}",JP,2018-12-14,null,04:30,Industrial Production (MoM) (Oct),0,,"{""value"": 2.9, ""uom"": ""%""}",null,fxs
91,"{""value"": 4.2, ""uom"": ""%""}",null,JP,2018-12-14,null,04:30,Industrial Production (YoY) (Oct),0,,"{""value"": 4.2, ""uom"": ""%""}",null,fxs
92,"{""value"": 5.9, ""uom"": ""%""}","{""value"": 5.8, ""uom"": ""%""}",CN,2018-12-14,null,02:00,Fixed Asset Investment (YTD) (YoY) (Nov),0,,"{""value"": 5.7, ""uom"": ""%""}",null,fxs
93,"{""value"": 5.4, ""uom"": ""%""}","{""value"": 5.9, ""uom"": ""%""}",CN,2018-12-14,null,02:00,Industrial Production (YoY) (Nov),0,,"{""value"": 5.9, ""uom"": ""%""}",null,fxs
94,"{""value"": 8.1, ""uom"": ""%""}","{""value"": 8.8, ""uom"": ""%""}",CN,2018-12-14,null,02:00,Retail Sales (YoY) (Nov),0,,"{""value"": 8.6, ""uom"": ""%""}",null,fxs
95,"{""value"": 52.4, ""uom"": null}","{""value"": 52.3, ""uom"": null}",JP,2018-12-14,null,00:30,Nikkei Manufacturing PMI (Dec),0,,"{""value"": 52.2, ""uom"": null}",null,fxs
96,null,null,EA,2018-12-14,null,24h,EcoFin Meeting,0,,null,null,fxs
97,"{""value"": 2.2, ""uom"": ""%""}","{""value"": 2.2, ""uom"": ""%""}",DE,2018-12-13,null,07:00,Harmonized Index of Consumer Prices (YoY) (Nov),1,,"{""value"": 2.2, ""uom"": ""%""}",null,fxs
98,"{""value"": 2.2, ""uom"": ""%""}","{""value"": 2.2, ""uom"": ""%""}",FR,2018-12-13,null,07:45,Consumer Price Index (EU norm) (YoY) (Nov),1,,"{""value"": 2.2, ""uom"": ""%""}",null,fxs
99,"{""value"": 1.4, ""uom"": ""%""}",null,CH,2018-12-13,"{""value"": 2.1, ""uom"": ""%""}",10:15 AM,Producer & Import Prices YoY,1,NOV,"{""value"": 2.3, ""uom"": ""%""}",null,te
100,"{""value"": 1661000.0, ""uom"": null}","{""value"": 1650000.0, ""uom"": null}",US,2018-12-13,"{""value"": 1707000.0, ""uom"": null}",03:30 PM,Continuing Jobless Claims,1,01/DEC,"{""value"": 1636000.0, ""uom"": null}","{""value"": 1631000.0, ""uom"": ""Previousrevisedfrom""}",te
101,"{""value"": 206000.0, ""uom"": null}","{""value"": 225000.0, ""uom"": null}",US,2018-12-13,"{""value"": 226000.0, ""uom"": null}",03:30 PM,Initial Jobless Claims,1,8/DEC,"{""value"": 233000.0, ""uom"": null}","{""value"": 231000.0, ""uom"": ""Previousrevisedfrom""}",te
102,"{""value"": -1.6, ""uom"": ""%""}","{""value"": -0.9, ""uom"": ""%""}",US,2018-12-13,null,03:30 PM,Import Prices MoM,1,NOV,"{""value"": 0.5, ""uom"": ""%""}",null,te
103,"{""value"": -0.9, ""uom"": ""%""}","{""value"": -0.1, ""uom"": ""%""}",US,2018-12-13,null,03:30 PM,Export Prices MoM,1,NOV,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""Previousrevisedfrom""}",te
104,"{""value"": 0.7, ""uom"": ""%""}",null,US,2018-12-13,null,03:30 PM,Import Prices YoY,1,NOV,"{""value"": 3.5, ""uom"": ""%""}",null,te
105,"{""value"": 1.8, ""uom"": ""%""}",null,US,2018-12-13,null,03:30 PM,Export Prices YoY,1,NOV,"{""value"": 3.1, ""uom"": ""%""}",null,te
106,"{""value"": 0.1, ""uom"": ""%""}",null,CA,2018-12-13,null,03:30 PM,New Housing Price Index YoY,1,OCT,"{""value"": 0.2, ""uom"": ""%""}",null,te
107,"{""value"": 19.0, ""uom"": null}","{""value"": 17.0, ""uom"": null}",JP,2018-12-13,null,23:50,Tankan Large Manufacturing Index (Q4),1,,"{""value"": 19.0, ""uom"": null}",null,fxs
108,"{""value"": 24.0, ""uom"": null}","{""value"": 20.0, ""uom"": null}",JP,2018-12-13,null,23:50,Tankan Non - Manufacturing Outlook (Q4),1,,"{""value"": 22.0, ""uom"": null}",null,fxs
109,"{""value"": 15.0, ""uom"": null}","{""value"": 16.0, ""uom"": null}",JP,2018-12-13,null,23:50,Tankan Large Manufacturing Outlook (Q4),1,,"{""value"": 19.0, ""uom"": null}",null,fxs
110,null,"{""value"": 12.7, ""uom"": ""%""}",JP,2018-12-13,null,,Tankan large all industry capex Q4,1,,"{""value"": 13.4, ""uom"": ""%""}",null,cio
111,"{""value"": 24.0, ""uom"": null}","{""value"": 21.0, ""uom"": null}",JP,2018-12-13,null,23:50,Tankan Non - Manufacturing Index (Q4),1,,"{""value"": 22.0, ""uom"": null}",null,fxs
112,"{""value"": -446600000000.0, ""uom"": ""\u00a5""}",null,JP,2018-12-13,"{""value"": -61700000000.0, ""uom"": ""\u00a5""}",01:50 AM,Stock Investment by Foreigners,0,08/DEC,"{""value"": -137900000000.0, ""uom"": ""\u00a5""}","{""value"": -137900000000.0, ""uom"": ""Previousrevisedfrom\u00a5""}",te
113,null,null,AU,2018-12-13,null,02:00 AM,RBA Kohler Speech,0,,null,null,te
114,"{""value"": 2.1, ""uom"": ""%""}",null,SG,2018-12-13,"{""value"": 2.1, ""uom"": ""%""}",04:30 AM,Unemployment Rate Final,0,Q3,"{""value"": 2.1, ""uom"": ""%""}",null,te
115,"{""value"": -1.3, ""uom"": ""%""}",null,CN,2018-12-13,null,08:45 AM,FDI (YTD) YoY,0,NOV,"{""value"": 3.3, ""uom"": ""%""}",null,te
116,"{""value"": 2.2, ""uom"": ""%""}","{""value"": 2.2, ""uom"": ""%""}",DE,2018-12-13,"{""value"": 2.2, ""uom"": ""%""}",09:00 AM,Harmonised Inflation Rate YoY Final,0,NOV,"{""value"": 2.4, ""uom"": ""%""}",null,te
117,"{""value"": 0.1, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",DE,2018-12-13,"{""value"": 0.1, ""uom"": ""%""}",09:00 AM,Harmonised Inflation Rate MoM Final,0,NOV,"{""value"": 0.1, ""uom"": ""%""}",null,te
118,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",DE,2018-12-13,"{""value"": 2.3, ""uom"": ""%""}",09:00 AM,Inflation Rate YoY Final,0,NOV,"{""value"": 2.5, ""uom"": ""%""}",null,te
119,"{""value"": 0.1, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",DE,2018-12-13,"{""value"": 0.1, ""uom"": ""%""}",09:00 AM,Inflation Rate MoM Final,0,NOV,"{""value"": 0.2, ""uom"": ""%""}",null,te
120,null,null,DE,2018-12-13,null,09:15 AM,Bundesbank Balz Speech,0,,null,null,te
121,"{""value"": 2.2, ""uom"": ""%""}","{""value"": 2.2, ""uom"": ""%""}",FR,2018-12-13,"{""value"": 2.2, ""uom"": ""%""}",09:45 AM,Harmonised Inflation Rate YoY Final,0,NOV,"{""value"": 2.5, ""uom"": ""%""}",null,te
122,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",FR,2018-12-13,"{""value"": -0.2, ""uom"": ""%""}",09:45 AM,Harmonised Inflation Rate MoM Final,0,NOV,"{""value"": 0.1, ""uom"": ""%""}",null,te
123,"{""value"": 1.9, ""uom"": ""%""}","{""value"": 1.9, ""uom"": ""%""}",FR,2018-12-13,"{""value"": 1.9, ""uom"": ""%""}",09:45 AM,Inflation Rate YoY Final,0,NOV,"{""value"": 2.2, ""uom"": ""%""}",null,te
