index,index,actual,consensus,country,date,forecast,hour,indicator,period,previous,previous_revised
54,54,53.9,55.1,US,Friday December 14 2018,55.2,04:45 PM,Markit Manufacturing PMI Flash,DEC,55.3,
55,55,53.4,54.7,US,Friday December 14 2018,54.5,04:45 PM,Markit Services PMI Flash,DEC,54.7,
56,56,0.6%,0.6%,US,Friday December 14 2018,0.2%,05:00 PM,Business Inventories MoM,OCT,0.5%,Previous revised from 0.3%
57,57,873,,US,Friday December 14 2018,891,08:00 PM,Baker Hughes Oil Rig Count,14/DEC,877,
58,58,,,EA,Friday December 14 2018,,,Eurogroup Meeting,,,
59,59,¥1241.4B,,JP,Thursday December 13 2018,¥ 356.2B,01:50 AM,Foreign Bond Investment,08/DEC,¥1053.5B,
60,60,¥-446.6B,,JP,Thursday December 13 2018,¥ -61.7B,01:50 AM,Stock Investment by Foreigners,08/DEC,¥-137.9B,Previous revised from ¥-137.9B
61,61,4%,,AU,Thursday December 13 2018,3.5%,02:00 AM,Consumer Inflation Expectations,DEC,3.6%,
62,62,,,AU,Thursday December 13 2018,,02:00 AM,RBA Kohler Speech,,,
63,63,,,AU,Thursday December 13 2018,,02:30 AM,RBA Bulletin,,,
64,64,2.1%,,SG,Thursday December 13 2018,2.1%,04:30 AM,Unemployment Rate Final,Q3,2.1%,
65,65,-1.3%,,CN,Thursday December 13 2018,,08:45 AM,FDI (YTD) YoY,NOV,3.3%,
66,66,2.2%,2.2%,DE,Thursday December 13 2018,2.2%,09:00 AM,Harmonised Inflation Rate YoY Final,NOV,2.4%,
67,67,0.1%,0.1%,DE,Thursday December 13 2018,0.1%,09:00 AM,Harmonised Inflation Rate MoM Final,NOV,0.1%,
68,68,2.3%,2.3%,DE,Thursday December 13 2018,2.3%,09:00 AM,Inflation Rate YoY Final,NOV,2.5%,
69,69,0.1%,0.1%,DE,Thursday December 13 2018,0.1%,09:00 AM,Inflation Rate MoM Final,NOV,0.2%,
70,70,,,DE,Thursday December 13 2018,,09:15 AM,Bundesbank Balz Speech,,,
71,71,2.2%,2.2%,FR,Thursday December 13 2018,2.2%,09:45 AM,Harmonised Inflation Rate YoY Final,NOV,2.5%,
72,72,-0.2%,-0.2%,FR,Thursday December 13 2018,-0.2%,09:45 AM,Harmonised Inflation Rate MoM Final,NOV,0.1%,
73,73,1.9%,1.9%,FR,Thursday December 13 2018,1.9%,09:45 AM,Inflation Rate YoY Final,NOV,2.2%,
74,74,-0.2%,-0.2%,FR,Thursday December 13 2018,-0.2%,09:45 AM,Inflation Rate MoM Final,NOV,0.1%,
75,75,-0.3%,0%,CH,Thursday December 13 2018,0.3%,10:15 AM,Producer & Import Prices MoM,NOV,0.2%,
76,76,1.4%,,CH,Thursday December 13 2018,2.1%,10:15 AM,Producer & Import Prices YoY,NOV,2.3%,
77,77,-0.75%,-0.75%,CH,Thursday December 13 2018,-0.75%,10:30 AM,SNB Interest Rate Decison,,-0.75%,
78,78,,,FR,Thursday December 13 2018,,11:00 AM,IEA Oil Market Report,,,
79,79,-0.4%,-0.4%,EA,Thursday December 13 2018,-0.4%,02:45 PM,Deposit Facility Rate,,-0.4%,
80,80,0%,0%,EA,Thursday December 13 2018,0%,02:45 PM,ECB Interest Rate Decision,,0%,
81,81,0.25%,,EA,Thursday December 13 2018,0.25%,02:45 PM,Marginal Lending Rate,,0.25%,
82,82,0.1%,,CA,Thursday December 13 2018,,03:30 PM,New Housing Price Index YoY,OCT,0.2%,
83,83,0%,0%,CA,Thursday December 13 2018,,03:30 PM,New Housing Price Index MoM,OCT,0%,
84,84,,,EA,Thursday December 13 2018,,03:30 PM,ECB Press Conference,,,
85,85,1661K,1650K,US,Thursday December 13 2018,1707K,03:30 PM,Continuing Jobless Claims,01/DEC,1636K,Previous revised from 1631K
86,86,1.8%,,US,Thursday December 13 2018,,03:30 PM,Export Prices YoY,NOV,3.1%,
87,87,-0.9%,-0.1%,US,Thursday December 13 2018,,03:30 PM,Export Prices MoM,NOV,0.5%,Previous revised from 0.4%
88,88,0.7%,,US,Thursday December 13 2018,,03:30 PM,Import Prices YoY,NOV,3.5%,
89,89,-1.6%,-0.9%,US,Thursday December 13 2018,,03:30 PM,Import Prices MoM,NOV,0.5%,
90,90,206K,225K,US,Thursday December 13 2018,226K,03:30 PM,Initial Jobless Claims,8/DEC,233K,Previous revised from 231K
91,91,-77Bcf,-84Bcf,US,Thursday December 13 2018,-100Bcf,05:30 PM,EIA Natural Gas Stocks Change,07/DEC,-63Bcf,
92,92,,,US,Thursday December 13 2018,,06:30 PM,4-Week Bill Auction,,2.320%,
93,93,,,US,Thursday December 13 2018,,08:00 PM,30-Year Bond Auction,,3.418%,
94,94,,$-188B,US,Thursday December 13 2018,$ -93B,09:00 PM,Monthly Budget Statement,NOV,$-100B,
95,95,104.4,,AU,Wednesday December 12 2018,104,01:30 AM,Westpac Consumer Confidence Index,DEC,104.3,
96,96,0.1%,,AU,Wednesday December 12 2018,,01:30 AM,Westpac Consumer Confidence Change,DEC,2.8%,
97,97,4.5%,5.9%,JP,Wednesday December 12 2018,2.5%,01:50 AM,Machinery Orders YoY,OCT,-7%,
98,98,7.6%,10.5%,JP,Wednesday December 12 2018,9.3%,01:50 AM,Machinery Orders MoM,OCT,-18.3%,
99,99,-0.3%,-0.1%,JP,Wednesday December 12 2018,,01:50 AM,PPI MoM,NOV,0.4%,Previous revised from 0.3%
100,100,2.3%,2.4%,JP,Wednesday December 12 2018,2.3%,01:50 AM,PPI YoY,NOV,3.0%,Previous revised from 2.9%
101,101,1.9%,0.9%,JP,Wednesday December 12 2018,,06:30 AM,Tertiary Industry Index MoM,OCT,-1.2%,Previous revised from -1.1%
102,102,-0.4%,,SG,Wednesday December 12 2018,-1.8%,07:00 AM,Retail Sales MoM,OCT,-0.4%,
103,103,0.1%,,SG,Wednesday December 12 2018,2.7%,07:00 AM,Retail Sales YoY,OCT,1.9%,
104,104,1.2%,0.7%,EA,Wednesday December 12 2018,1.5%,12:00 PM,Industrial Production YoY,OCT,0.8%,Previous revised from 0.9%
105,105,0.2%,0.2%,EA,Wednesday December 12 2018,0.4%,12:00 PM,Industrial Production MoM,OCT,-0.6%,Previous revised from -0.3%
106,106,0.370%,,IT,Wednesday December 12 2018,,12:45 PM,12-Month BOT Auction,,0.630%,
107,107,1.6%,,US,Wednesday December 12 2018,0.80%,02:00 PM,MBA Mortgage Applications,07/DEC,2%,
108,108,4.96%,,US,Wednesday December 12 2018,4.98%,02:00 PM,MBA 30-Year Mortgage Rate,07/DEC,5.08%,
109,109,82.6%,85.7%,CA,Wednesday December 12 2018,85.7%,03:30 PM,Capacity Utilization,Q3,84.1%,Previous revised from 85.5%
110,110,0.2%,0.2%,US,Wednesday December 12 2018,,03:30 PM,Core Inflation Rate MoM,NOV,0.2%,
111,111,2.2%,2.2%,US,Wednesday December 12 2018,2.3%,03:30 PM,Core Inflation Rate YoY,NOV,2.1%,
112,112,2.2%,2.2%,US,Wednesday December 12 2018,2.4%,03:30 PM,Inflation Rate YoY,NOV,2.5%,
113,113,0%,0%,US,Wednesday December 12 2018,0.2%,03:30 PM,Inflation Rate MoM,NOV,0.3%,
114,114,-1.208M,-2.99M,US,Wednesday December 12 2018,1.9M,05:30 PM,EIA Crude Oil Stocks Change,07/DEC,-7.323M,
115,115,2.087M,2.461M,US,Wednesday December 12 2018,-0.26M,05:30 PM,EIA Gasoline Stocks Change,07/DEC,1.699M,
116,116,2.915%,,US,Wednesday December 12 2018,,08:00 PM,10-Year Note Auction,,3.209%,
117,117,,,GB,Wednesday December 12 2018,,11:00 PM,May No Confidence Vote Result,,,
118,118,5.5,,JP,Tuesday December 11 2018,,01:50 AM,BSI Large Manufacturing QoQ,Q4,6.5,
119,119,3,,AU,Tuesday December 11 2018,5,02:30 AM,NAB Business Confidence,NOV,5,Previous revised from 4
120,120,-1.9%,-1.5%,AU,Tuesday December 11 2018,,02:30 AM,House Price Index YoY,Q3,-0.6%,
121,121,-1.5%,-1.5%,AU,Tuesday December 11 2018,-1%,02:30 AM,House Price Index QoQ,Q3,-0.7%,
122,122,0.794%,,JP,Tuesday December 11 2018,,05:45 AM,30-Year JGB Auction,,0.87%,
123,123,-16.8%,,JP,Tuesday December 11 2018,,08:00 AM,Machine Tool Orders YoY,NOV,-0.7%,Previous revised from -1.1%
124,124,0.1%,,FR,Tuesday December 11 2018,0.1%,08:30 AM,Non Farm Payrolls QoQ,Q3,0.1%,Previous revised from 0.0%
125,125,0.1%,0.2%,FR,Tuesday December 11 2018,0.2%,08:30 AM,Private Non Farm Payrolls QoQ Final,Q3,0.1%,
126,126,-13.9%,,CN,Tuesday December 11 2018,,10:50 AM,Vehicle Sales YoY,NOV,-11.7%,
127,127,CNY1250B,CNY1121.5B,CN,Tuesday December 11 2018,CNY 1300B,11:00 AM,New Yuan Loans,NOV,CNY697B,
128,128,13.1%,13%,CN,Tuesday December 11 2018,13%,11:00 AM,Outstanding Loan Growth YoY,NOV,13.1%,
129,129,CNY 1520B,CNY 1334B,CN,Tuesday December 11 2018,CNY 1370B,11:00 AM,Total Social Financing,NOV,CNY728.8B,
130,130,8%,8%,CN,Tuesday December 11 2018,,11:00 AM,M2 Money Supply YoY,NOV,8%,
131,131,21.9K,13.2K,GB,Tuesday December 11 2018,7.4K,11:30 AM,Claimant Count Change,NOV,23.2K,Previous revised from 20.2K
132,132,79K,25K,GB,Tuesday December 11 2018,15K,11:30 AM,Employment Change,SEP,23K,
133,133,4.1%,4.1%,GB,Tuesday December 11 2018,4.1%,11:30 AM,Unemployment Rate,OCT,4.1%,
134,134,3.3%,3.2%,GB,Tuesday December 11 2018,3.2%,11:30 AM,Average Earnings excl. Bonus,OCT,3.2%,
135,135,3.3%,3%,GB,Tuesday December 11 2018,3%,11:30 AM,Average Earnings incl. Bonus,OCT,3.1%,Previous revised from 3%
136,136,-0.505%,,ES,Tuesday December 11 2018,,11:40 AM,3-Month Letras Auction,,-0.604%,
137,137,-21.0,-23.2,EA,Tuesday December 11 2018,-20.6,12:00 PM,ZEW Economic Sentiment Index,DEC,-22.0,
138,138,45.3,55.8,DE,Tuesday December 11 2018,62.5,12:00 PM,ZEW Current Conditions,DEC,58.2,
139,139,-17.5,-25,DE,Tuesday December 11 2018,-22,12:00 PM,ZEW Economic Sentiment Index,DEC,-24.1,
140,140,-0.58%,,DE,Tuesday December 11 2018,,12:40 PM,2-Year Schatz Auction,,-0.58%,
141,141,104.8,107.3,US,Tuesday December 11 2018,107,01:00 PM,NFIB Business Optimism Index,NOV,107.4,
142,142,0.3%,0.1%,US,Tuesday December 11 2018,,03:30 PM,Core PPI MoM,NOV,0.5%,
143,143,2.7%,2.6%,US,Tuesday December 11 2018,,03:30 PM,Core PPI YoY,NOV,2.6%,
144,144,0.1%,0%,US,Tuesday December 11 2018,,03:30 PM,PPI MoM,NOV,0.6%,
145,145,2.5%,2.5%,US,Tuesday December 11 2018,2.7%,03:30 PM,PPI YoY,NOV,2.9%,
146,146,6.6%,,US,Tuesday December 11 2018,,03:55 PM,Redbook YoY,08/DEC,7%,
147,147,-0.5%,,US,Tuesday December 11 2018,,03:55 PM,Redbook MoM,08/DEC,0.8%,
148,148,,,US,Tuesday December 11 2018,,07:00 PM,WASDE Report,,,
149,149,2.748%,,US,Tuesday December 11 2018,,08:00 PM,3-Year Note Auction,,2.983%,
150,150,-10.18M,,US,Tuesday December 11 2018,2.1M,11:30 PM,API Crude Oil Stock Change,7/DEC,5.36M,
151,151,-0.1%,-0.1%,JP,Monday December 10 2018,-0.1%,01:50 AM,GDP External Demand QoQ Final,Q3,-0.1%,
152,152,-0.2%,-0.1%,JP,Monday December 10 2018,-0.1%,01:50 AM,GDP Private Consumption QoQ Final,Q3,0.7%,
153,153,¥1309.9B,¥1.384.2T,JP,Monday December 10 2018,¥ 1.4T,01:50 AM,Current Account,OCT,¥1821.6B,
154,154,-0.3%,-0.3%,JP,Monday December 10 2018,-0.3%,01:50 AM,GDP Price Index YoY Final,Q3,0.1%,
155,155,-0.6%,-0.5%,JP,Monday December 10 2018,-0.3%,01:50 AM,GDP Growth Rate QoQ Final,Q3,0.7%,Previous revised from 0.8%
156,156,-2.5%,-1.9%,JP,Monday December 10 2018,-1.2%,01:50 AM,GDP Growth Annualized Final,Q3,2.8%,Previous revised from 3%
157,157,-2.8%,-1.6%,JP,Monday December 10 2018,-0.2%,01:50 AM,GDP Capital Expenditure QoQ Final,Q3,2.8%,Previous revised from 3.1%
158,158,2.1%,2.2%,JP,Monday December 10 2018,2.2%,01:50 AM,Bank Lending YoY,NOV,2.2%,
159,159,2.2%,0%,AU,Monday December 10 2018,,02:30 AM,Home Loans MoM,OCT,-1%,
160,160,51,49.5,JP,Monday December 10 2018,49.10,07:00 AM,Eco Watchers Survey Current,NOV,49.5,
161,161,52.2,,JP,Monday December 10 2018,,07:00 AM,Eco Watchers Survey Outlook,NOV,50.6,
162,162,2.5%,,CH,Monday December 10 2018,2.5%,08:45 AM,Unemployment Rate,NOV,2.4%,
163,163,€18.3B,,DE,Monday December 10 2018,€17.7B,09:00 AM,Balance of Trade,OCT,€18.3B,Previous revised from €18.4B
164,164,€17.3B,€17.7B,DE,Monday December 10 2018,,09:00 AM,Balance of Trade s.a,OCT,€17.7B,Previous revised from €17.6B
165,165,0.7%,0.5%,DE,Monday December 10 2018,,09:00 AM,Exports MoM s.a,OCT,-0.4%,Previous revised from -0.8%
166,166,1.3%,0.4%,DE,Monday December 10 2018,,09:00 AM,Imports MoM s.a,OCT,0%,Previous revised from -0.4%
167,167,€15.9B,,DE,Monday December 10 2018,€19B,09:00 AM,Current Account,OCT,€21.4B,Previous revised from €21.1B
168,168,1%,,IT,Monday December 10 2018,0.9%,11:00 AM,Industrial Production YoY,OCT,1.4%,Previous revised from 1.3%
169,169,0.1%,-0.3%,IT,Monday December 10 2018,-0.3%,11:00 AM,Industrial Production MoM,OCT,-0.1%,Previous revised from -0.2%
170,170,£-3.3B,,GB,Monday December 10 2018,£-2.6B,11:30 AM,Balance of Trade,OCT,£-2.331B,Previous revised from £-0.027B
171,171,0.1%,0.1%,GB,Monday December 10 2018,0.2%,11:30 AM,GDP MoM,OCT,0%,
172,172,1.5%,1.6%,GB,Monday December 10 2018,1.6%,11:30 AM,GDP YoY,OCT,1.5%,
173,173,-30.7%,,GB,Monday December 10 2018,-8.2%,11:30 AM,Construction Orders YoY,Q3,-7.7%,Previous revised from -7.4%
174,174,3.8%,3.2%,GB,Monday December 10 2018,3.6%,11:30 AM,Construction Output YoY,OCT,3%,
175,175,-0.9%,0%,GB,Monday December 10 2018,0.2%,11:30 AM,Manufacturing Production MoM,OCT,0.2%,
176,176,-0.8%,-0.2%,GB,Monday December 10 2018,0.7%,11:30 AM,Industrial Production YoY,OCT,0%,
177,177,-0.6%,0.1%,GB,Monday December 10 2018,0.1%,11:30 AM,Industrial Production MoM,OCT,0%,
178,178,0.4%,0.4%,GB,Monday December 10 2018,0.4%,11:30 AM,GDP 3-Month Avg,OCT,0.6%,
179,179,-1%,0%,GB,Monday December 10 2018,0.8%,11:30 AM,Manufacturing Production YoY,OCT,0.5%,
180,180,1.1%,,GR,Monday December 10 2018,2.1%,12:00 PM,Harmonised Inflation Rate YoY,NOV,1.8%,
181,181,-1.1%,,GR,Monday December 10 2018,1.7%,12:00 PM,Industrial Production YoY,OCT,1.8%,Previous revised from 2%
182,182,1%,,GR,Monday December 10 2018,2.2%,12:00 PM,Inflation Rate YoY,NOV,1.8%,
183,183,215.9K,196K,CA,Monday December 10 2018,200.2K,03:15 PM,Housing Starts,NOV,206.8K,Previous revised from 205.9K
184,184,-0.2%,-0.2%,CA,Monday December 10 2018,,03:30 PM,Building Permits MoM,OCT,0.4%,
185,185,-0.701%,,FR,Monday December 10 2018,,04:00 PM,3-Month BTF Auction,DEC/10,-0.668%,
186,186,-0.651%,,FR,Monday December 10 2018,,04:00 PM,6-Month BTF Auction,DEC/10,-0.645%,
187,187,0.3%,,GB,Monday December 10 2018,,04:00 PM,NIESR Monthly GDP Tracker,NOV,0.4%,
188,188,7.079M,6.995M,US,Monday December 10 2018,7.2M,05:00 PM,JOLTs Job Openings,OCT,6.96M,Previous revised from 7.009M
189,189,2.97%,,US,Monday December 10 2018,3%,06:00 PM,Consumer Inflation Expectations,NOV,3%,
190,190,2.375%,,US,Monday December 10 2018,,06:30 PM,3-Month Bill Auction,,2.365%,
191,191,2.48%,,US,Monday December 10 2018,,06:30 PM,6-Month Bill Auction,,2.495%,
192,192,2.2%,2.4%,CN,Sunday December 09 2018,2.3%,03:30 AM,Inflation Rate YoY,NOV,2.5%,
193,193,-0.3%,-0.1%,CN,Sunday December 09 2018,0.1%,03:30 AM,Inflation Rate MoM,NOV,0.2%,
194,194,2.7%,2.7%,CN,Sunday December 09 2018,2.8%,03:30 AM,PPI YoY,NOV,3.3%,
195,195,,,AU,Sunday December 09 2018,,11:30 PM,RBA Kent Speech,,,
196,196,$44.74B,$34.0B,CN,Saturday December 08 2018,$32B,05:00 AM,Balance of Trade,NOV,$34.01B,
197,197,5.4%,10.0%,CN,Saturday December 08 2018,,05:00 AM,Exports YoY,NOV,15.6%,
198,198,3.0%,14.5%,CN,Saturday December 08 2018,,05:00 AM,Imports YoY,NOV,21.4%,
199,199,44.5,,AU,Friday December 07 2018,49.1,12:00 AM,AIG Construction Index,NOV,46.4,
200,200,1.8%,1.4%,JP,Friday December 07 2018,,01:30 AM,Household Spending MoM,OCT,-4.5%,
201,201,-0.3%,1.4%,JP,Friday December 07 2018,0.7%,01:30 AM,Household Spending YoY,OCT,-1.6%,
202,202,,,US,Friday December 07 2018,,01:30 AM,Fed Williams Speech,,,
203,203,,,US,Friday December 07 2018,,01:45 AM,Fed Powell Speech,,,
204,204,$1258.3B,,JP,Friday December 07 2018,$ 1253B,01:50 AM,Foreign Exchange Reserves,NOV,$1252.9B,
205,205,1.5%,1%,JP,Friday December 07 2018,1%,02:00 AM,Average Cash Earnings YoY,OCT,0.8%,Previous revised from 1.1%
206,206,104.5,,JP,Friday December 07 2018,114.3,07:00 AM,Coincident Index Prel,OCT,101.6,Previous revised from 114.6
207,207,100.5,104.8,JP,Friday December 07 2018,104.2,07:00 AM,Leading Economic Index Prel,OCT,99.6,Previous revised from 104.3
208,208,-0.5%,0.3%,DE,Friday December 07 2018,0.4%,09:00 AM,Industrial Production MoM,OCT,0.1%,Previous revised from 0.2%
209,209,€-4.1B,€-6.0B,FR,Friday December 07 2018,€-4.0B,09:45 AM,Balance of Trade,OCT,€-5.4B,Previous revised from €-5.7B
210,210,€-0.7B,,FR,Friday December 07 2018,€-2.1B,09:45 AM,Current Account,OCT,€-1.9B,
211,211,1.2%,0.7%,FR,Friday December 07 2018,1.1%,09:45 AM,Industrial Production MoM,OCT,-1.6%,Previous revised from -1.8%
212,212,€-214M,,AT,Friday December 07 2018,€ -609M,10:00 AM,Balance of Trade,SEP,€-587M,
213,213,4.4%,,AT,Friday December 07 2018,,10:00 AM,Wholesale Prices YoY,NOV,5.4%,
214,214,-0.2%,,AT,Friday December 07 2018,,10:00 AM,Wholesale Prices MoM,NOV,1%,
215,215,CHF749B,,CH,Friday December 07 2018,CHF 753.1B,10:00 AM,Foreign Exchange Reserves,NOV,CHF752B,Previous revised from CHF753B
216,216,-1.4%,0.5%,GB,Friday December 07 2018,,10:30 AM,Halifax House Price Index MoM,NOV,0.7%,
217,217,0.3%,1%,GB,Friday December 07 2018,,10:30 AM,Halifax House Price Index YoY,NOV,1.5%,
218,218,$3.06T,$3.04T,CN,Friday December 07 2018,$ 3T,10:40 AM,Foreign Exchange Reserves,NOV,$3.05T,
219,219,0.1%,-0.2%,IT,Friday December 07 2018,0.5%,11:00 AM,Retail Sales MoM,OCT,-0.8%,
220,220,1.5%,,IT,Friday December 07 2018,1%,11:00 AM,Retail Sales YoY,OCT,-2.5%,
221,221,S$397.2B,,SG,Friday December 07 2018,S$ 403.6B,11:00 AM,Foreign Exchange Reserves,NOV,S$402B,
222,222,3.2%,,GB,Friday December 07 2018,2.6%,11:30 AM,Consumer Inflation Expectations,Q4,3%,
223,223,1.3%,1.3%,EA,Friday December 07 2018,1.3%,12:00 PM,Employment Change YoY Final,Q3,1.5%,
224,224,0.2%,0.2%,EA,Friday December 07 2018,0.2%,12:00 PM,Employment Change QoQ Final,Q3,0.4%,
225,225,0.2%,0.2%,EA,Friday December 07 2018,0.2%,12:00 PM,GDP Growth Rate QoQ 3rd Est,Q3,0.4%,
226,226,1.6%,1.7%,EA,Friday December 07 2018,1.7%,12:00 PM,GDP Growth Rate YoY 3rd Est,Q3,2.2%,
227,227,€-2.206B,,GR,Friday December 07 2018,€-2.3B,12:00 PM,Balance of Trade,OCT,€-1.872B,
228,228,94.1K,11K,CA,Friday December 07 2018,18.1K,03:30 PM,Employment Change,NOV,11.2K,
229,229,89.9K,,CA,Friday December 07 2018,11.5K,03:30 PM,Full Time Employment Chg,NOV,33.9K,
230,230,65.4%,,CA,Friday December 07 2018,65.5%,03:30 PM,Participation Rate,NOV,65.2%,
231,231,4.1K,,CA,Friday December 07 2018,3.9K,03:30 PM,Part Time Employment Chg,NOV,-22.6K,
232,232,5.6%,5.8%,CA,Friday December 07 2018,5.9%,03:30 PM,Unemployment Rate,NOV,5.8%,
