Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
33981,0,0.13149019,81,0,0.41708088600000004,2212.0,9,0,3,0,0.0
129309,0,0.087193671,49,0,0.29262765,7500.0,6,0,2,0,2.0
2370,0,0.9999998999999999,45,1,1.094979352,4600.0,3,4,0,0,1.0
65428,0,0.538557422,67,0,1.169680929,6800.0,6,0,2,0,0.0
91624,1,0.9999998999999999,32,0,479.0,,1,1,0,0,0.0
55286,0,0.182831615,67,0,0.229486793,9956.0,14,0,1,0,1.0
98845,0,0.048832170999999994,58,0,0.805584401,8666.0,16,0,5,0,0.0
64896,0,0.9999998999999999,60,0,216.0,,1,0,0,0,0.0
129774,0,0.20758483,36,1,2370.0,,4,5,1,0,0.0
149383,0,0.040509377,74,0,1425.0,,6,0,1,0,
141285,0,0.050424459000000005,47,0,0.30942264399999997,4000.0,11,0,1,0,0.0
3067,0,0.429076645,47,0,0.455773561,3108.0,4,0,0,0,0.0
71841,0,0.0,30,0,0.052003503,9133.0,3,0,0,0,0.0
73134,0,0.048271405,60,0,0.398563069,13500.0,18,0,5,0,0.0
132363,0,18.0,64,0,1428.0,,4,0,1,0,
82739,0,0.016029834,52,0,0.026933102,1150.0,3,0,0,0,2.0
149085,0,0.232707848,30,0,0.308246073,4583.0,6,0,2,0,0.0
47203,0,0.942531378,54,0,0.25362439600000003,6000.0,16,0,0,0,0.0
126943,0,0.012443003999999999,71,0,0.14386137,6116.0,13,0,1,0,0.0
81921,0,0.9999998999999999,39,0,0.0,,2,0,0,0,0.0
55571,0,0.20756918,55,0,4175.0,,18,0,1,0,0.0
119031,0,0.0,92,0,0.0,4851.0,1,0,0,0,1.0
43235,0,0.231641734,60,0,0.556688933,11077.0,25,0,2,0,0.0
40871,0,0.017444576,48,0,0.298833436,11400.0,12,0,2,0,1.0
47009,0,0.051645334,47,0,0.199328714,9235.0,12,0,2,0,4.0
96246,0,0.07826216,58,0,0.011478647,8101.0,4,0,0,0,0.0
53732,0,0.924785417,35,1,1.107707191,3100.0,13,0,1,0,2.0
106014,0,0.338179301,37,0,0.509141494,2515.0,9,0,0,0,0.0
149185,0,0.149381563,54,0,0.182733416,7250.0,12,0,0,0,1.0
85841,1,0.894210746,37,4,0.31317170699999997,4000.0,6,3,0,2,3.0
36146,0,0.001830223,71,0,2119.0,,17,0,2,0,0.0
54107,1,0.472459271,41,0,0.04806272,8800.0,10,1,0,2,1.0
67464,0,0.0,58,0,0.167811495,11500.0,4,0,1,0,0.0
15325,0,0.18373372100000002,38,0,0.0229977,10000.0,5,0,0,0,0.0
27108,0,0.097848465,51,0,0.18594081399999998,9900.0,6,0,1,0,0.0
83685,0,0.00790335,57,0,0.334666533,10000.0,8,0,1,0,0.0
105263,0,0.112565032,47,0,0.23479626,14650.0,7,0,2,0,3.0
28600,0,0.1099945,48,0,66.0,,1,0,0,0,0.0
100885,0,0.9999998999999999,52,0,0.306553128,2700.0,3,2,1,0,3.0
51669,0,0.130266878,50,0,2701.0,,7,0,2,0,0.0
64869,1,0.484653819,59,0,0.106695355,7900.0,4,0,0,0,1.0
85990,0,1.099800399,34,1,0.206357344,3900.0,4,1,0,0,1.0
5306,0,0.263088661,59,0,0.357339395,8358.0,6,0,2,0,2.0
9302,0,0.040501571,79,0,0.293341332,5000.0,10,0,1,0,0.0
103607,0,0.0067985680000000005,79,0,0.282725735,6500.0,9,0,1,0,0.0
67997,1,0.063715498,71,3,0.66923925,2720.0,10,0,1,0,0.0
89513,0,0.707093283,47,0,0.46831646,2666.0,3,0,1,0,0.0
126034,0,0.164489587,77,1,1.0,1450.0,24,0,2,0,0.0
117794,0,0.0,38,0,0.086043574,6333.0,3,0,1,0,0.0
124444,0,0.38630104200000004,51,0,0.5789370460000001,5098.0,17,0,1,0,2.0
101736,0,0.097307385,29,0,0.14259344699999998,6500.0,4,0,0,0,0.0
71258,0,0.035522964,52,0,0.36461735100000003,7042.0,5,0,1,0,3.0
6452,0,0.040598359,62,0,0.086800493,8916.0,8,0,0,0,0.0
82614,0,0.517800571,67,0,4221.0,,14,0,1,0,0.0
145151,1,0.0499002,30,1,0.17054412600000002,5200.0,6,1,0,0,3.0
71442,0,0.9652485590000001,40,0,0.457842113,6700.0,11,0,1,0,1.0
28555,0,0.127544192,71,0,7318.0,,17,0,4,0,0.0
23034,0,0.9999998999999999,27,0,0.101323966,3700.0,4,0,0,0,0.0
93684,0,0.588801067,35,1,186.0,,8,0,0,2,0.0
54678,0,0.20213449100000003,40,0,0.45515142700000005,6900.0,5,0,2,0,2.0
85688,0,0.154082708,67,0,0.406998542,4800.0,10,0,2,0,1.0
142046,0,0.9999998999999999,48,3,0.385076865,2666.0,6,0,0,0,0.0
80011,0,0.019999015,52,0,0.19820188,4893.0,8,0,0,0,1.0
34748,0,0.8871274570000001,50,0,1.0837533000000001,4166.0,9,0,2,0,0.0
67454,0,0.9999998999999999,63,0,484.0,,5,0,0,0,0.0
60942,0,0.039706349,65,0,0.224953299,10170.0,5,0,1,0,0.0
31399,0,0.303950727,56,0,0.09434290699999999,11489.0,9,0,1,0,2.0
6808,0,0.0,33,0,0.440536407,8500.0,6,0,2,0,2.0
21629,0,0.609198971,58,0,0.316594118,18837.0,17,0,3,0,1.0
73626,1,0.9999998999999999,43,0,0.173076923,3691.0,1,5,0,1,0.0
76749,0,0.9999998999999999,47,0,0.0,9000.0,0,0,0,0,1.0
102699,0,0.025691574,56,0,1.155976004,6500.0,17,0,3,0,0.0
52180,0,0.080209614,65,0,45.0,,6,0,0,0,0.0
81922,0,0.08342865599999999,59,0,0.338849729,9788.0,6,1,2,0,0.0
33228,0,0.882461154,43,0,0.275872413,10000.0,10,0,1,1,0.0
38784,0,0.070098832,63,0,0.242619079,7620.0,24,0,3,0,0.0
104084,0,0.0,55,0,690.0,,5,0,0,0,0.0
79942,0,0.698156777,47,0,0.56017593,2500.0,12,0,1,1,0.0
78474,0,0.001737945,60,0,0.092476955,10088.0,10,0,1,0,0.0
143325,0,0.891310869,43,0,0.329608281,8500.0,8,0,1,0,1.0
44867,0,0.12156839,53,0,1756.0,,6,0,2,0,0.0
67786,0,0.136265153,60,0,0.262126961,9750.0,10,0,2,0,2.0
27863,0,0.10246196199999999,66,0,0.218550107,3751.0,10,0,1,0,1.0
13068,1,1.033324077,27,2,0.195191621,4200.0,8,0,0,0,1.0
85139,0,0.60887597,37,0,4881.0,,9,0,2,0,0.0
149010,0,0.025126907,66,0,2180.0,,13,0,1,0,
75803,0,0.182827685,53,0,0.22625215899999998,11000.0,13,0,1,0,0.0
124241,0,0.19944517899999997,42,0,0.42418398700000004,14000.0,14,0,2,0,3.0
140232,0,0.134034545,61,0,0.253057851,6049.0,22,0,0,0,0.0
133383,0,0.505494505,35,0,0.004999,5000.0,4,0,0,0,2.0
118724,0,0.9999998999999999,35,0,0.028937772,8500.0,0,3,0,0,1.0
59210,0,0.00179982,63,0,0.077929716,6800.0,3,0,1,0,0.0
105225,0,0.045549932,31,0,0.102989701,10000.0,6,0,0,0,0.0
111984,0,0.076601088,48,0,0.014873141000000001,8000.0,5,0,0,0,3.0
140508,0,0.9999998999999999,60,0,0.144946559,5332.0,7,0,0,0,1.0
13426,0,0.22932568899999997,60,0,6.1287458379999995,900.0,9,0,4,0,0.0
60353,0,0.888223553,43,2,10.95150961,2185.0,5,2,0,0,4.0
106136,0,0.039245728,46,0,0.449208686,5433.0,12,0,2,0,3.0
84052,0,0.419047795,40,0,0.290126763,5600.0,9,0,0,0,2.0
68609,1,0.11541473699999999,50,2,0.758413862,3000.0,17,0,0,0,0.0
18203,1,1.281718282,47,3,395.0,,5,0,1,1,1.0
8210,0,0.9999998999999999,70,0,703.0,,1,1,1,0,0.0
12684,0,0.40266529,32,0,0.8877551020000001,2743.0,11,0,1,0,2.0
108018,0,0.16219615699999998,41,0,0.49641726399999997,6000.0,8,0,1,0,1.0
34475,0,0.4815005,37,0,0.134356523,23846.0,14,0,2,1,1.0
128854,0,0.9999998999999999,78,0,179.0,,1,0,0,0,0.0
68289,1,0.056133302999999996,66,0,200.0,,9,0,0,0,0.0
94236,0,0.373931303,30,0,0.254131371,7200.0,4,0,2,0,0.0
32254,0,0.011064338,83,0,20.0,,5,0,0,0,0.0
27886,0,0.099174449,38,0,0.523499049,3680.0,12,0,1,0,2.0
101643,0,1.811459027,64,0,0.318953203,17500.0,11,0,3,0,1.0
28884,0,0.056447971,62,0,0.0026313020000000003,9500.0,2,0,0,0,0.0
92313,0,0.024560076,55,0,0.25609756100000003,5083.0,9,0,2,0,4.0
41632,0,0.118845933,28,1,0.048410861,4750.0,6,0,0,0,0.0
130844,0,0.030164153,71,0,0.13340391699999998,5666.0,4,0,0,0,0.0
42768,0,0.9334183779999999,36,0,1.393450185,2167.0,14,0,1,0,4.0
22620,0,0.082638256,52,0,5545.0,,18,0,2,0,2.0
31664,0,0.020467756,62,0,0.143809365,6000.0,8,0,0,0,1.0
33244,0,0.9999998999999999,66,0,0.199606158,5585.0,3,0,1,0,1.0
15932,0,0.739739575,32,1,0.141968451,4500.0,7,0,0,0,0.0
139931,0,0.012926513999999998,87,0,15.0,,3,0,0,0,
16318,0,0.11860778300000001,73,0,592.0,,7,0,0,1,
146439,1,0.9999998999999999,64,0,0.016720257,1554.0,1,1,0,0,0.0
930,0,0.018538176,74,0,1184.0,,8,0,1,0,0.0
25007,0,0.613277345,40,0,0.38017050799999996,3166.0,4,0,0,0,3.0
30034,0,0.11471321699999999,40,5,0.449105398,6650.0,4,5,1,1,2.0
62385,0,0.002931274,62,0,5.0,,10,0,0,0,0.0
111339,0,0.0,44,0,0.500999714,3500.0,7,0,0,0,0.0
69875,0,0.06295173700000001,35,0,0.336523354,7000.0,8,0,1,0,2.0
125096,0,0.091440723,58,0,107.0,,2,0,0,0,0.0
128405,0,0.193893537,65,0,0.598144297,6250.0,12,0,2,0,0.0
123521,0,0.9999998999999999,52,0,131.0,,1,0,0,0,3.0
120012,1,0.0,31,0,0.0,1500.0,2,0,0,0,0.0
27075,0,0.449551682,38,0,0.306296692,6558.0,11,0,2,0,3.0
785,0,0.42759090000000005,39,0,0.342354782,10862.0,14,1,2,0,0.0
31168,0,0.0,40,6,0.348954111,6166.0,3,4,1,0,0.0
148597,0,0.359697475,26,0,0.267436695,2250.0,5,0,0,0,0.0
100610,0,0.040877968,72,0,0.19351851899999997,10799.0,12,0,1,0,0.0
121905,0,0.407424351,52,0,0.16459276,3535.0,3,0,0,0,0.0
24363,0,0.16946672399999999,54,0,0.30977620699999997,11036.0,8,0,2,0,3.0
121325,0,0.0,52,0,0.18796453800000001,11166.0,11,0,0,0,0.0
7078,1,0.9739657740000001,57,4,0.564327485,9233.0,15,0,1,1,0.0
109315,0,0.06742675599999999,42,0,0.124100103,2916.0,5,0,0,0,0.0
145087,0,0.305709842,26,0,0.69783488,4202.0,11,0,3,0,3.0
143891,1,0.5873574189999999,28,9,1.061077179,1800.0,19,0,1,0,0.0
26172,0,0.9260739259999999,23,0,0.035322777,820.0,2,0,0,0,0.0
144104,0,0.777379493,56,0,0.378770205,6000.0,5,0,2,0,0.0
19736,0,0.030078797,77,0,75.0,,1,0,0,0,0.0
122444,0,0.481904437,67,1,0.6512110729999999,2889.0,10,0,1,0,0.0
938,0,0.163750645,65,0,0.266873313,10000.0,13,0,1,0,0.0
76544,0,0.028446153999999998,59,0,6751.0,,20,0,2,0,0.0
39089,0,0.358947835,29,0,0.200277681,2880.0,4,0,0,0,0.0
114012,0,0.632195401,25,0,0.329177057,400.0,2,0,0,0,0.0
120529,1,0.9999998999999999,61,1,0.39093181,2800.0,6,0,1,0,0.0
78897,0,0.0769021,58,0,1586.0,,2,0,1,0,
12173,0,0.18996200800000002,26,0,0.99760096,2500.0,6,0,2,0,0.0
147286,0,0.508485229,42,0,0.17370436,17500.0,9,0,1,0,1.0
105273,0,0.37404293200000005,67,0,0.133701552,10500.0,14,0,0,0,0.0
25439,0,0.73042065,61,0,0.26679226100000003,13800.0,12,0,2,0,0.0
86816,0,0.10492867,48,0,760.0,,5,0,2,0,0.0
136378,0,0.003824191,65,0,0.08271474,6600.0,9,0,1,0,0.0
145680,0,0.043940299,59,1,0.18730835899999998,7500.0,8,0,1,0,0.0
147263,0,0.038784018999999996,55,0,0.394448444,12500.0,9,0,1,0,2.0
148437,0,0.007780541,34,0,88.0,,8,0,0,0,0.0
111275,0,0.064811055,53,1,1.219945014,4000.0,17,0,2,0,0.0
44356,0,0.34424204700000005,52,0,0.49032212,14000.0,9,0,1,0,0.0
371,0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0
122160,0,0.045813118,53,0,0.162325941,7755.0,5,0,1,0,0.0
81996,0,0.9999998999999999,41,0,0.0,6300.0,0,0,0,1,1.0
102976,0,0.008729763,52,0,674.0,,8,0,1,0,0.0
4158,1,0.323280507,60,0,0.566333383,6700.0,9,0,2,0,1.0
67434,0,0.0,30,0,0.0059988,3333.0,3,0,0,0,0.0
62656,0,0.743212839,44,0,1425.0,,8,0,0,0,2.0
73319,0,0.137400485,39,0,0.248455973,17000.0,8,0,2,0,2.0
4169,0,0.5127567710000001,32,0,0.40906729,7697.0,7,0,2,0,3.0
24104,0,0.666710143,38,0,0.29095958,3240.0,6,0,0,0,1.0
53165,0,0.139442231,41,0,0.215083288,5462.0,6,0,0,0,2.0
34272,0,0.9999998999999999,23,0,0.282859339,1300.0,1,0,0,0,0.0
80391,0,0.827736515,66,2,0.387676508,35833.0,16,1,2,0,1.0
96365,0,0.979898467,67,0,0.37435035200000005,13083.0,9,0,2,0,1.0
122252,0,0.066671947,46,0,0.23242736600000002,5334.0,9,0,1,0,0.0
70497,0,0.0,43,0,3831.0,,3,0,1,0,1.0
17652,0,0.660258196,59,4,2311.0,,7,0,0,0,0.0
18651,0,0.018342821000000002,48,0,0.492929581,7000.0,11,0,2,0,3.0
20818,0,0.063829787,94,0,34.0,,4,0,0,0,
73889,0,0.17029420899999997,70,0,0.252117448,7083.0,14,0,1,0,0.0
131357,0,0.26047497399999997,43,0,0.40555555600000004,6299.0,6,0,1,0,1.0
114387,0,0.155164818,54,0,0.516129032,5300.0,13,0,1,0,2.0
92308,0,0.21928556,53,0,213.0,,2,0,0,0,
129637,0,0.546612954,47,0,0.203701734,9400.0,3,0,1,0,2.0
140309,0,0.0050432590000000005,43,0,0.23774098100000002,12500.0,4,0,1,0,1.0
81969,0,0.049219507,68,0,327.0,,11,0,0,0,1.0
31609,0,0.900415917,65,0,0.441564675,12500.0,10,0,2,0,0.0
89551,0,0.9111969109999999,32,0,0.441860465,2880.0,6,0,1,0,2.0
3990,0,0.0,78,0,0.215397831,9312.0,8,0,1,0,0.0
43375,0,0.030958056,74,0,0.216397657,7000.0,8,0,1,0,0.0
37806,0,0.176891155,52,1,0.33840139,6905.0,9,0,2,0,0.0
57085,0,0.048732794,65,0,0.961038961,1000.0,34,0,1,0,0.0
134086,0,0.9999998999999999,56,0,0.0,4333.0,3,0,0,0,1.0
135181,0,0.009069556999999999,65,0,0.00219956,5000.0,6,0,0,0,0.0
61857,0,0.71976008,34,0,0.128747795,1700.0,4,0,0,0,0.0
70922,0,0.025452727,45,1,0.234101272,8333.0,10,0,2,0,3.0
123007,0,0.679592263,42,0,0.609742283,3530.0,8,0,2,0,1.0
399,1,0.8024171790000001,58,1,668.0,,5,1,0,0,0.0
2010,0,0.017289927,49,0,0.31778037,6000.0,13,0,1,0,1.0
11769,0,0.9999998999999999,40,0,0.30009998600000004,7000.0,2,0,1,0,0.0
125150,0,0.24479085399999997,59,0,0.54118896,4709.0,10,0,1,0,0.0
149007,0,0.014142145,64,0,0.24828821199999998,9492.0,22,0,2,0,0.0
139568,0,0.7193428279999999,51,0,0.470899471,1700.0,11,0,0,0,0.0
84896,0,0.142380259,28,0,0.38387395700000004,5394.0,22,0,1,0,0.0
148921,0,0.05581981,70,0,0.127680077,4150.0,14,0,0,0,0.0
92252,0,0.040702196,78,0,0.00202084,15834.0,7,0,0,0,0.0
84456,0,0.107683519,23,0,11.0,0.0,2,0,0,0,0.0
58142,0,0.22121804,48,1,0.269890977,8621.0,5,0,2,0,2.0
103650,0,0.246226324,47,1,0.183004721,3600.0,8,0,0,0,4.0
50520,0,0.025722363999999998,74,0,0.003720238,2687.0,3,0,0,0,0.0
16221,0,0.0,59,1,0.09465695800000001,9750.0,8,0,0,0,1.0
49972,0,0.01355749,57,0,0.352801894,3800.0,20,0,1,0,2.0
56612,0,0.361405635,30,0,174.0,,4,0,0,1,0.0
112053,0,0.009336845,85,0,0.20591763300000002,2500.0,8,0,1,0,0.0
58889,0,0.043161787,67,0,0.370475515,5635.0,8,0,2,0,0.0
136013,0,0.42704714200000005,45,1,0.849875156,3203.0,7,0,1,0,1.0
120993,0,0.0,62,0,0.113383322,4400.0,11,0,0,0,0.0
125144,1,0.214589891,75,0,657.0,,1,0,0,0,0.0
130126,0,0.065096745,84,0,0.035982009,2000.0,8,0,0,0,0.0
65733,0,0.7626237379999999,32,1,0.538839725,3050.0,6,0,1,0,1.0
30046,0,0.0758,27,0,0.632760267,4187.0,8,0,1,0,0.0
56607,0,0.30104659699999997,37,0,1972.0,,6,0,1,0,0.0
142086,0,0.0,39,0,0.26765113100000004,4333.0,11,0,0,0,1.0
49065,0,0.024952908,53,0,0.20024049100000002,15800.0,9,0,2,0,1.0
75268,0,0.729626588,60,0,0.6027990670000001,3000.0,8,0,0,0,0.0
111013,0,0.857295907,26,0,0.8891916440000001,1100.0,8,0,0,0,0.0
46672,0,0.44111776399999997,44,0,0.242085341,5811.0,5,0,1,0,1.0
13218,0,0.056975419000000006,57,0,0.0049142859999999995,17499.0,5,0,0,0,2.0
135786,0,0.066866661,68,0,0.14464738,7500.0,3,0,1,0,0.0
52384,0,0.177744538,74,0,1030.0,,17,0,1,0,0.0
22675,1,0.179828735,45,1,0.169731685,3316.0,6,1,0,1,1.0
19966,0,0.00491283,57,0,732.0,,2,0,1,0,2.0
51835,0,0.132986088,55,0,0.7418768459999999,4400.0,11,0,4,0,0.0
86765,0,0.800868522,58,0,1.114338235,2719.0,10,0,1,0,0.0
79650,0,0.07285967900000001,51,1,0.060911380999999994,4366.0,6,0,0,0,3.0
30594,0,0.0,42,0,0.107508449,20416.0,7,0,2,0,4.0
3494,0,0.024177708,69,0,903.0,,7,0,1,0,0.0
43368,0,0.9562087579999999,69,1,0.594181164,3333.0,8,0,1,1,0.0
35856,0,0.120357231,49,1,3377.0,,13,0,1,0,0.0
18189,0,0.709459699,53,4,0.316484176,13333.0,23,0,2,2,0.0
35749,0,0.005576716999999999,46,0,0.40434531799999995,5200.0,18,0,1,0,2.0
72598,0,0.7048728409999999,43,1,4101.0,,5,0,2,0,2.0
25678,0,0.019664166,57,0,0.23608407899999997,5137.0,8,0,2,0,1.0
29386,0,2128.0,49,0,5443.0,,6,0,2,1,0.0
128893,0,0.65390688,48,0,2712.0,,9,0,2,0,2.0
29253,0,0.017410372,76,0,0.140305011,2294.0,14,0,1,0,0.0
60222,0,0.245754246,21,0,7.0,,1,0,0,0,
113353,0,0.073930923,59,0,0.012589928,7783.0,5,0,0,0,0.0
57403,0,0.12342208800000001,60,0,0.03616064,6000.0,5,0,0,0,0.0
52239,0,0.018623848999999998,57,0,0.17751367699999998,5300.0,25,0,0,0,0.0
149131,1,0.9999998999999999,31,0,0.106723319,4000.0,5,0,0,3,0.0
65826,0,0.03179841,32,0,0.16920769800000002,4000.0,11,0,0,0,0.0
106645,0,0.053470665,63,1,0.055472264,2000.0,4,0,0,1,0.0
59828,0,0.096885515,51,0,0.020995801,1666.0,10,0,0,0,0.0
29302,0,0.016859493,59,0,14.0,,2,0,0,0,0.0
88086,0,0.736452709,63,0,0.24750100000000003,2500.0,3,0,0,0,0.0
105167,0,1.060967988,57,2,0.314037193,3333.0,2,0,0,0,0.0
34518,0,0.029576755,45,0,0.41072015799999995,3040.0,10,0,2,0,2.0
58567,0,0.022951822,62,0,0.19266131,12072.0,11,0,1,0,0.0
53939,0,0.045272815999999994,60,0,0.176711208,11000.0,18,0,2,0,0.0
124703,1,0.9999998999999999,33,0,453.0,,1,2,0,1,0.0
16255,0,0.49100066700000006,44,0,496.0,,3,0,0,0,0.0
63240,0,0.56425188,73,0,5224.0,,13,0,2,0,0.0
149842,1,0.009087605,54,0,1.0615056440000001,11250.0,12,0,4,0,0.0
141593,0,0.576936995,75,0,0.5228439429999999,3895.0,8,0,0,0,0.0
127270,0,0.011459907,64,0,0.001809351,10500.0,10,0,0,0,0.0
70524,0,0.249055019,42,0,0.09366812199999999,9159.0,5,0,0,0,3.0
30685,0,0.011049723999999999,86,0,0.003249188,4000.0,1,0,0,0,0.0
85271,0,0.0,24,0,0.0,1000.0,2,0,0,0,0.0
14166,0,0.007873218000000001,85,0,0.0032854209999999997,2434.0,6,0,0,0,0.0
68434,0,0.0794991,63,1,0.02339766,10000.0,7,0,0,0,1.0
42848,0,0.279037174,75,0,0.09422644300000001,4000.0,6,0,0,0,0.0
132867,0,0.049620280999999995,65,0,0.020604499999999998,13200.0,8,0,0,0,1.0
2998,0,0.6429428229999999,29,0,0.151979736,7500.0,9,0,1,0,0.0
76214,0,0.385815886,47,1,0.318491876,8062.0,13,0,0,0,0.0
62914,1,0.9999998999999999,43,0,338.0,,0,0,0,0,0.0
117359,0,0.130024508,52,0,0.058681496,41000.0,9,0,2,0,0.0
13960,0,0.198124528,29,0,0.052368454,8000.0,5,0,0,0,0.0
70225,0,0.9999998999999999,31,0,0.14012284,7000.0,3,0,0,0,0.0
39509,0,0.9999998999999999,58,0,0.30514921,3417.0,1,0,1,0,0.0
129089,0,0.008263857,40,0,1045.0,,6,0,1,0,
41408,0,0.265117038,54,0,0.33670253200000005,9200.0,14,0,3,0,1.0
131010,0,0.036739265,50,0,0.14386542800000002,8500.0,9,0,1,0,2.0
79669,0,0.111897127,41,0,1.5392921419999999,5000.0,13,0,9,0,0.0
11113,0,0.01505639,61,0,0.38453562399999996,6750.0,9,0,1,0,0.0
4320,0,0.070233642,48,0,0.309034721,5500.0,4,0,1,0,2.0
101967,0,0.03410301,48,0,0.084165478,5607.0,12,1,0,0,1.0
4902,0,0.047254715,64,1,64.0,,5,0,0,0,0.0
95575,0,0.9999998999999999,53,0,0.5271576139999999,3000.0,4,0,1,0,0.0
141022,0,0.14359532,65,0,0.46462955200000006,7166.0,16,0,2,0,0.0
99551,0,0.003767027,61,0,0.44062423799999995,4100.0,20,0,2,0,0.0
125359,0,0.556827019,60,0,0.37013996899999996,4500.0,8,0,1,0,0.0
39025,0,0.054441261,44,0,0.245134485,9145.0,7,0,1,0,3.0
39282,0,0.9999998999999999,30,0,0.0,3900.0,1,0,0,0,1.0
82047,0,0.007039437,57,0,0.4583258,5530.0,11,0,3,0,0.0
141970,0,0.01975076,57,0,2397.0,,6,0,1,0,0.0
116554,1,0.750188816,40,0,0.9153605020000001,1913.0,7,0,1,0,3.0
129976,0,0.082840605,59,0,1144.0,,13,0,1,0,3.0
128084,0,0.28498451199999997,57,0,0.617114304,1600.0,7,0,0,0,0.0
17117,0,0.11544754900000001,47,0,0.022637014,2517.0,4,0,0,0,0.0
34667,0,0.027329689,35,0,0.0014752889999999999,4066.0,1,0,0,0,0.0
135658,0,0.0,71,0,0.0,2184.0,1,0,0,0,0.0
87175,0,0.9287793759999999,38,0,0.335640138,2600.0,8,0,0,0,1.0
90163,0,0.526326211,53,0,0.558743007,8400.0,21,0,5,0,0.0
143789,0,0.033085226,45,0,2529.0,,15,0,1,0,2.0
66262,0,0.046097695,61,0,2377.0,,6,0,2,0,3.0
93939,0,0.06580432900000001,83,0,71.0,,10,0,0,0,0.0
90428,0,0.039568602,61,0,0.24245423100000002,8083.0,6,0,2,0,0.0
122714,0,0.48125937,37,0,14.37932414,5000.0,3,0,0,0,3.0
138214,0,0.9999998999999999,42,0,0.424242424,3200.0,5,0,0,0,3.0
31959,0,0.9999998999999999,50,0,0.098334401,9365.0,7,0,1,0,0.0
56286,0,0.363939357,38,0,3321.0,,12,0,2,0,1.0
17059,0,0.24400947,65,0,0.338636566,11250.0,22,0,2,0,0.0
88383,0,0.29788628,85,1,0.560523446,1833.0,14,0,1,0,0.0
121831,0,0.037498125,66,0,2124.0,,7,0,2,1,0.0
88462,0,0.97460805,40,0,0.22286158600000003,6429.0,4,0,1,0,0.0
147212,0,0.594712723,66,0,0.868948655,2044.0,6,0,2,0,1.0
35112,0,0.0,30,0,0.015357543000000001,6250.0,2,0,0,0,0.0
22239,0,0.0,38,1,1990.0,,9,0,1,0,1.0
110518,0,0.10542066,44,0,0.016383355,13000.0,5,0,0,0,2.0
