step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
114,'C102364766','2','F','28007','M348934600','28007','es_transportation',1.28,0
94,'C615816786','2','F','28007','M348934600','28007','es_transportation',8.94,0
96,'C968819483','3','F','28007','M349281107','28007','es_fashion',156.04,0
171,'C1536083561','2','F','28007','M348934600','28007','es_transportation',73.76,0
14,'C1033848759','4','M','28007','M348934600','28007','es_transportation',46.45,0
93,'C177123752','4','M','28007','M1823072687','28007','es_transportation',6.2,0
5,'C1988407051','5','M','28007','M348934600','28007','es_transportation',48.43,0
77,'C44857022','4','F','28007','M1823072687','28007','es_transportation',15.21,0
111,'C841956493','2','F','28007','M1913465890','28007','es_health',322.32,0
12,'C2106115023','5','M','28007','M1823072687','28007','es_transportation',10.82,0
129,'C1545573016','2','F','28007','M348934600','28007','es_transportation',53.8,0
8,'C904725981','1','F','28007','M480139044','28007','es_health',111.68,0
130,'C1669649966','3','F','28007','M1823072687','28007','es_transportation',33.47,0
128,'C576358551','6','M','28007','M1600850729','28007','es_fashion',196.7,0
49,'C764092576','4','F','28007','M1823072687','28007','es_transportation',23.34,0
84,'C2049000934','5','M','28007','M1823072687','28007','es_transportation',30.85,0
148,'C1425719203','1','F','28007','M348934600','28007','es_transportation',44.68,0
176,'C1360806205','4','F','28007','M1823072687','28007','es_transportation',30.2,0
27,'C1801270098','3','M','28007','M1823072687','28007','es_transportation',24.43,0
155,'C532118459','3','F','28007','M1823072687','28007','es_transportation',41.04,0
61,'C300112558','1','F','28007','M348934600','28007','es_transportation',10.05,0
52,'C1512444326','3','F','28007','M1823072687','28007','es_transportation',45.55,0
83,'C381446674','5','F','28007','M1823072687','28007','es_transportation',0.56,0
161,'C859741683','5','F','28007','M85975013','28007','es_food',26.1,0
123,'C16791543','4','M','28007','M1823072687','28007','es_transportation',3.45,0
33,'C1830714840','4','F','28007','M1823072687','28007','es_transportation',51.18,0
108,'C1687101094','2','F','28007','M1823072687','28007','es_transportation',21.62,0
123,'C137986193','4','F','28007','M348934600','28007','es_transportation',3.61,0
3,'C942160317','2','M','28007','M348934600','28007','es_transportation',7.3,0
169,'C263489307','2','M','28007','M1823072687','28007','es_transportation',25.5,0
14,'C150273597','4','M','28007','M1053599405','28007','es_health',106.62,0
164,'C1524407626','1','M','28007','M85975013','28007','es_food',37.12,0
100,'C168710517','4','F','28007','M349281107','28007','es_fashion',88.16,0
143,'C1021409246','2','M','28007','M1823072687','28007','es_transportation',28.01,0
160,'C1635987808','5','F','28007','M1823072687','28007','es_transportation',2.06,0
138,'C363029037','3','M','28007','M85975013','28007','es_food',60.73,0
130,'C1651213581','3','F','28007','M1823072687','28007','es_transportation',12.65,0
127,'C2014729870','2','F','28007','M1823072687','28007','es_transportation',2.79,0
62,'C1327124397','2','M','28007','M85975013','28007','es_food',71.56,0
129,'C109617474','2','F','28007','M1823072687','28007','es_transportation',29.17,0
58,'C1646244537','4','M','28007','M1823072687','28007','es_transportation',57.37,0
173,'C1631162170','4','F','28007','M1823072687','28007','es_transportation',23.49,0
179,'C1838948302','1','M','28007','M85975013','28007','es_food',31.68,0
55,'C1947369699','5','F','28007','M348934600','28007','es_transportation',40.77,0
65,'C2015203999','4','F','28007','M1823072687','28007','es_transportation',22.39,0
28,'C1076053396','4','M','28007','M348934600','28007','es_transportation',35.7,0
75,'C59263760','4','F','28007','M348934600','28007','es_transportation',10.4,0
120,'C1726895756','5','M','28007','M1823072687','28007','es_transportation',52.22,0
125,'C1741401017','4','M','28007','M1823072687','28007','es_transportation',9.64,0
62,'C157427068','1','M','28007','M1823072687','28007','es_transportation',14.93,0
147,'C296630818','3','M','28007','M1823072687','28007','es_transportation',27.77,0
179,'C1461183743','2','F','28007','M348934600','28007','es_transportation',17.53,0
128,'C1404589205','2','M','28007','M348934600','28007','es_transportation',20.32,0
92,'C37682628','1','M','28007','M348934600','28007','es_transportation',33.34,0
102,'C759940472','2','M','28007','M1823072687','28007','es_transportation',23.99,0
36,'C59912595','2','F','28007','M348934600','28007','es_transportation',14.41,0
175,'C427983732','4','F','28007','M1823072687','28007','es_transportation',23.36,0
147,'C1349321790','3','F','28007','M1823072687','28007','es_transportation',4.85,0
85,'C1505370540','3','F','28007','M1823072687','28007','es_transportation',17.21,0
14,'C386205251','2','F','28007','M1823072687','28007','es_transportation',34.93,0
138,'C1293579037','2','F','28007','M85975013','28007','es_food',18.47,0
178,'C2053277267','1','M','28007','M1823072687','28007','es_transportation',13.96,0
149,'C49915499','4','M','28007','M1823072687','28007','es_transportation',0.92,0
9,'C1242643189','3','F','28007','M348934600','28007','es_transportation',15.53,0
108,'C1703319891','5','F','28007','M1823072687','28007','es_transportation',45.59,0
81,'C332727422','5','M','28007','M1053599405','28007','es_health',304.6,0
84,'C1520919939','4','M','28007','M1823072687','28007','es_transportation',17.93,0
101,'C1121327223','2','F','28007','M1823072687','28007','es_transportation',5.43,0
30,'C265405940','2','F','28007','M348934600','28007','es_transportation',17.29,0
132,'C1832119955','4','F','28007','M348934600','28007','es_transportation',22.41,0
21,'C10105795','4','M','28007','M348934600','28007','es_transportation',18.32,0
58,'C1152356495','3','F','28007','M1823072687','28007','es_transportation',18.03,0
94,'C637831009','3','F','28007','M1823072687','28007','es_transportation',41.02,0
36,'C954150626','6','F','28007','M348934600','28007','es_transportation',46.27,0
58,'C2007253908','2','M','28007','M348934600','28007','es_transportation',53.92,0
131,'C1686098746','0','M','28007','M1198415165','28007','es_wellnessandbeauty',17.57,0
136,'C193924578','4','F','28007','M348934600','28007','es_transportation',48.14,0
99,'C892943299','3','F','28007','M1823072687','28007','es_transportation',4.79,0
44,'C1068772542','1','M','28007','M1946091778','28007','es_wellnessandbeauty',50.64,0
145,'C486343841','3','M','28007','M1823072687','28007','es_transportation',31.52,0
43,'C721654925','2','M','28007','M1823072687','28007','es_transportation',28.76,0
2,'C1165454845','2','M','28007','M348934600','28007','es_transportation',16.9,0
107,'C595076943','1','F','28007','M1823072687','28007','es_transportation',16.65,0
66,'C1088464518','2','F','28007','M348934600','28007','es_transportation',24.98,0
79,'C103995111','3','M','28007','M480139044','28007','es_health',17.12,0
121,'C3977999','3','M','28007','M1946091778','28007','es_wellnessandbeauty',3.54,0
16,'C1680004438','2','F','28007','M348934600','28007','es_transportation',8.67,0
101,'C1129737137','6','M','28007','M1823072687','28007','es_transportation',3.56,0
30,'C711859898','3','F','28007','M348934600','28007','es_transportation',4.18,0
60,'C1005126300','4','F','28007','M1823072687','28007','es_transportation',37.99,0
136,'C435572486','1','F','28007','M1823072687','28007','es_transportation',31.4,0
88,'C1274818444','5','F','28007','M348934600','28007','es_transportation',17.69,0
65,'C1719485237','4','M','28007','M1823072687','28007','es_transportation',35.3,0
178,'C1603928569','3','F','28007','M1823072687','28007','es_transportation',45.2,0
120,'C399875163','2','M','28007','M151143676','28007','es_barsandrestaurants',3.07,0
169,'C809708190','1','F','28007','M1823072687','28007','es_transportation',11.92,0
154,'C1981040988','4','M','28007','M348934600','28007','es_transportation',19.33,0
170,'C678697032','2','F','28007','M855959430','28007','es_hyper',7.61,0
158,'C1869939691','4','F','28007','M1823072687','28007','es_transportation',55.4,0
137,'C1091680547','4','M','28007','M348934600','28007','es_transportation',32.64,0
47,'C1969430351','3','M','28007','M1823072687','28007','es_transportation',67.17,0
40,'C1810630647','2','F','28007','M1823072687','28007','es_transportation',17.9,0
92,'C466769207','2','F','28007','M348934600','28007','es_transportation',1.8,0
52,'C138375181','5','F','28007','M1823072687','28007','es_transportation',40.74,0
92,'C2127479268','5','F','28007','M209847108','28007','es_wellnessandbeauty',30.3,0
144,'C214836772','2','M','28007','M1823072687','28007','es_transportation',0.66,0
8,'C1209838312','2','M','28007','M1823072687','28007','es_transportation',33.28,0
150,'C1542345868','6','F','28007','M1823072687','28007','es_transportation',37.45,0
109,'C1107442215','2','F','28007','M1823072687','28007','es_transportation',0.74,0
159,'C1010865894','1','F','28007','M1823072687','28007','es_transportation',22.75,0
17,'C1158233054','2','F','28007','M348934600','28007','es_transportation',8.67,0
16,'C1421006824','2','F','28007','M1823072687','28007','es_transportation',33.66,0
109,'C337165520','2','F','28007','M1823072687','28007','es_transportation',21.42,0
93,'C1208123566','6','M','28007','M1823072687','28007','es_transportation',32.4,0
162,'C2016997607','2','M','28007','M1416436880','28007','es_tech',177.63,0
64,'C260927654','4','F','28007','M1823072687','28007','es_transportation',5.33,0
175,'C1038277619','6','M','28007','M1823072687','28007','es_transportation',7.54,0
102,'C1237272991','2','F','28007','M348934600','28007','es_transportation',29.26,0
98,'C20239039','2','F','28007','M348934600','28007','es_transportation',3.78,0
111,'C978276840','2','F','28007','M1823072687','28007','es_transportation',17.97,0
58,'C2125787399','4','F','28007','M78078399','28007','es_wellnessandbeauty',7.57,0
28,'C503124737','6','M','28007','M348934600','28007','es_transportation',0.61,0
111,'C1453917071','5','F','28007','M1823072687','28007','es_transportation',40.26,0
106,'C325775693','3','F','28007','M348934600','28007','es_transportation',42.53,0
99,'C1002759277','1','F','28007','M1823072687','28007','es_transportation',1.54,0
55,'C1511148959','4','F','28007','M348934600','28007','es_transportation',28.67,0
137,'C1489836575','2','F','28007','M1823072687','28007','es_transportation',12.5,0
75,'C1551572984','3','M','28007','M1823072687','28007','es_transportation',54.9,0
76,'C99215049','4','M','28007','M1823072687','28007','es_transportation',38.79,0
135,'C1928450094','2','M','28007','M1823072687','28007','es_transportation',16.27,0
87,'C279399121','3','F','28007','M1198415165','28007','es_wellnessandbeauty',31.99,0
165,'C522845009','5','F','28007','M348934600','28007','es_transportation',28.12,0
70,'C2092733799','2','F','28007','M1823072687','28007','es_transportation',24.46,0
165,'C2044070952','2','F','28007','M349281107','28007','es_fashion',59.47,0
155,'C51444479','3','M','28007','M1823072687','28007','es_transportation',15.98,0
26,'C75278863','1','F','28007','M348934600','28007','es_transportation',27.19,0
81,'C350348759','2','F','28007','M1823072687','28007','es_transportation',59.91,0
163,'C412473162','1','M','28007','M1823072687','28007','es_transportation',38.04,0
89,'C1445784416','4','M','28007','M1823072687','28007','es_transportation',57.42,0
136,'C252172114','2','M','28007','M1823072687','28007','es_transportation',6.99,0
73,'C369405043','4','M','28007','M1823072687','28007','es_transportation',0.67,0
143,'C351144071','2','M','28007','M1946091778','28007','es_wellnessandbeauty',37.89,0
3,'C808977147','2','M','28007','M1352454843','28007','es_hotelservices',73.83,0
115,'C1952109278','1','M','28007','M1823072687','28007','es_transportation',41.73,0
102,'C1372042334','1','F','28007','M348934600','28007','es_transportation',29.08,0
77,'C1806072501','5','M','28007','M85975013','28007','es_food',31.51,0
127,'C232369406','5','F','28007','M1823072687','28007','es_transportation',28.9,0
123,'C2132916640','5','M','28007','M1823072687','28007','es_transportation',7.8,0
32,'C1474976180','2','F','28007','M348934600','28007','es_transportation',32.62,0
110,'C969824969','4','F','28007','M348934600','28007','es_transportation',23.18,0
120,'C951660772','3','M','28007','M1823072687','28007','es_transportation',73.29,0
52,'C712473227','1','F','28007','M1823072687','28007','es_transportation',31.23,0
123,'C2094120486','2','M','28007','M348934600','28007','es_transportation',9.35,0
62,'C1240746302','6','M','28007','M348934600','28007','es_transportation',18.45,0
112,'C1187702596','3','M','28007','M1823072687','28007','es_transportation',31.2,0
112,'C1212956427','2','F','28007','M348934600','28007','es_transportation',11.53,0
154,'C1914083426','2','M','28007','M1823072687','28007','es_transportation',40.8,0
28,'C1525581466','1','F','28007','M348934600','28007','es_transportation',17.67,0
101,'C676156739','2','F','28007','M1823072687','28007','es_transportation',74.65,0
56,'C302774270','2','F','28007','M1823072687','28007','es_transportation',16.73,0
55,'C605904636','5','F','28007','M1823072687','28007','es_transportation',15.25,0
178,'C391642320','3','F','28007','M1823072687','28007','es_transportation',33.28,0
67,'C185428348','2','F','28007','M1823072687','28007','es_transportation',9.13,0
164,'C809339851','3','F','28007','M1823072687','28007','es_transportation',24.67,0
53,'C1147973334','2','F','28007','M980657600','28007','es_sportsandtoys',138.44,1
78,'C185428348','2','F','28007','M1823072687','28007','es_transportation',50.78,0
118,'C2095815783','2','F','28007','M78078399','28007','es_wellnessandbeauty',111.63,0
159,'C896887653','3','M','28007','M1823072687','28007','es_transportation',31.25,0
122,'C2084267589','3','F','28007','M1823072687','28007','es_transportation',13.35,0
67,'C874725016','2','F','28007','M348934600','28007','es_transportation',4.05,0
132,'C2085650948','2','F','28007','M1823072687','28007','es_transportation',54.31,0
157,'C975211427','2','M','28007','M1823072687','28007','es_transportation',20.96,0
177,'C764048448','3','M','28007','M1823072687','28007','es_transportation',31.26,0
159,'C1419246450','3','M','28007','M348934600','28007','es_transportation',35.16,0
17,'C1254696728','2','M','28007','M151143676','28007','es_barsandrestaurants',12.74,0
120,'C1361248894','2','F','28007','M348934600','28007','es_transportation',19.11,0
162,'C2134625729','2','F','28007','M348934600','28007','es_transportation',32.52,0
66,'C528985379','3','F','28007','M348934600','28007','es_transportation',21.49,0
103,'C149511515','5','F','28007','M348934600','28007','es_transportation',35.31,0
64,'C1404684380','5','F','28007','M348934600','28007','es_transportation',45.42,0
138,'C136606306','4','M','28007','M348934600','28007','es_transportation',12.95,0
86,'C1123627503','0','F','28007','M1823072687','28007','es_transportation',2.47,0
100,'C1512732275','3','F','28007','M1823072687','28007','es_transportation',11.89,0
153,'C479535332','5','F','28007','M1823072687','28007','es_transportation',40.85,0
131,'C1450354557','3','F','28007','M1823072687','28007','es_transportation',10.56,0
27,'C767740583','2','F','28007','M348934600','28007','es_transportation',21.71,0
165,'C497246334','6','F','28007','M1823072687','28007','es_transportation',39.79,0
15,'C1689884214','3','M','28007','M348934600','28007','es_transportation',24.66,0
97,'C979437396','5','F','28007','M85975013','28007','es_food',12.18,0
44,'C1692967183','3','F','28007','M348934600','28007','es_transportation',23.11,0
40,'C2060968828','3','F','28007','M1823072687','28007','es_transportation',39.5,0
76,'C1812935919','5','M','28007','M1823072687','28007','es_transportation',33.31,0
126,'C2113973089','2','F','28007','M348934600','28007','es_transportation',39.28,0
64,'C1333401746','3','F','28007','M17379832','28007','es_sportsandtoys',75.31,0
10,'C747175090','5','F','28007','M348934600','28007','es_transportation',35.18,0
131,'C791033780','6','F','28007','M1823072687','28007','es_transportation',32.36,0
100,'C201406562','3','M','28007','M348934600','28007','es_transportation',40.93,0
10,'C639532055','4','F','28007','M1823072687','28007','es_transportation',15.91,0
14,'C1014124305','1','M','28007','M348934600','28007','es_transportation',45.9,0
79,'C1047521541','5','M','28007','M348934600','28007','es_transportation',1.84,0
15,'C1142956269','4','M','28007','M348934600','28007','es_transportation',11.14,0
44,'C1141481813','5','M','28007','M1823072687','28007','es_transportation',27.03,0
132,'C1486069778','4','F','28007','M1823072687','28007','es_transportation',3.5,0
9,'C362857866','3','F','28007','M348934600','28007','es_transportation',1.05,0
159,'C1922157108','2','F','28007','M1823072687','28007','es_transportation',43.53,0
98,'C135434041','4','F','28007','M1823072687','28007','es_transportation',49.63,0
168,'C256310721','2','F','28007','M348934600','28007','es_transportation',17.4,0
112,'C1819751403','1','F','28007','M348934600','28007','es_transportation',23.08,0
26,'C1605127736','2','M','28007','M348934600','28007','es_transportation',26.81,0
163,'C644344959','5','M','28007','M1823072687','28007','es_transportation',15.17,0
76,'C712473227','1','F','28007','M1823072687','28007','es_transportation',11.77,0
92,'C437189630','4','F','28007','M348934600','28007','es_transportation',55.39,0
80,'C49915499','4','M','28007','M1823072687','28007','es_transportation',45.45,0
17,'C2063574289','1','F','28007','M348934600','28007','es_transportation',20.16,0
99,'C1257820473','3','M','28007','M348934600','28007','es_transportation',13.77,0
114,'C104392148','3','F','28007','M1823072687','28007','es_transportation',14.79,0
12,'C260437492','3','F','28007','M348934600','28007','es_transportation',38.08,0
0,'C1059534096','3','M','28007','M1313686961','28007','es_contents',66.86,0
118,'C1559091388','4','F','28007','M348934600','28007','es_transportation',15.18,0
45,'C1769359992','3','F','28007','M348934600','28007','es_transportation',54.23,0
137,'C1897313368','5','F','28007','M1823072687','28007','es_transportation',14.74,0
77,'C1657707912','1','M','28007','M1823072687','28007','es_transportation',29.17,0
53,'C1082732879','2','F','28007','M1823072687','28007','es_transportation',15.78,0
95,'C1385406679','2','M','28007','M348934600','28007','es_transportation',12.51,0
41,'C1033848759','4','M','28007','M348934600','28007','es_transportation',13.12,0
117,'C966602067','4','M','28007','M348934600','28007','es_transportation',7.1,0
174,'C2096367617','2','M','28007','M1823072687','28007','es_transportation',11.3,0
140,'C815186263','2','M','28007','M1823072687','28007','es_transportation',11.27,0
57,'C1582366224','5','M','28007','M348934600','28007','es_transportation',9.89,0
137,'C610735261','2','F','28007','M348934600','28007','es_transportation',47.85,0
87,'C1369559766','3','M','28007','M1823072687','28007','es_transportation',63.03,0
61,'C2062869828','2','M','28007','M348934600','28007','es_transportation',18.28,0
111,'C252625411','4','F','28007','M348934600','28007','es_transportation',29.37,0
101,'C366397964','2','F','28007','M348934600','28007','es_transportation',3.0,0
117,'C723509264','4','F','28007','M348934600','28007','es_transportation',25.39,0
167,'C2100371435','2','F','28007','M1823072687','28007','es_transportation',57.41,0
67,'C234264885','3','F','28007','M677738360','28007','es_contents',12.65,0
116,'C957324981','4','M','28007','M1823072687','28007','es_transportation',0.31,0
16,'C1035681921','1','M','28007','M1823072687','28007','es_transportation',48.19,0
44,'C144168365','4','M','28007','M1823072687','28007','es_transportation',11.99,0
122,'C2034859281','2','F','28007','M1823072687','28007','es_transportation',29.47,0
177,'C585317135','3','M','28007','M1823072687','28007','es_transportation',37.12,0
77,'C707755349','4','M','28007','M1823072687','28007','es_transportation',24.61,0
140,'C509860014','6','F','28007','M1946091778','28007','es_wellnessandbeauty',80.42,0
19,'C1733778992','2','F','28007','M348934600','28007','es_transportation',32.23,0
100,'C857032107','3','M','28007','M85975013','28007','es_food',31.98,0
115,'C2055186059','3','F','28007','M1823072687','28007','es_transportation',32.16,0
174,'C1068772542','1','M','28007','M348934600','28007','es_transportation',13.21,0
