SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,effort,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.006918784,62,1,"(0.00214, 0.00287]",8750.0,17,0,2,0,0.0
0,0.022735155,60,0,"(12.67, 3296.64]",,7,0,1,0,
0,0.046411248,63,0,"(12.67, 3296.64]",,12,0,2,0,0.0
0,0.089323409,64,0,"(-0.001, 0.000309]",3550.0,2,0,0,0,0.0
0,0.277423729,58,0,"(0.00287, 0.00367]",15990.0,25,0,1,0,1.0
1,0.17382617399999994,38,1,"(0.000309, 0.00134]",4400.0,5,0,0,0,0.0
0,0.119853803,40,0,"(0.00649, 0.04]",2100.0,5,0,1,0,2.0
0,0.37421259,46,0,"(0.04, 12.67]",,3,0,0,0,0.0
1,0.809177392,40,1,"(0.00649, 0.04]",4666.0,7,0,2,0,3.0
1,1.121681416,37,2,"(0.00649, 0.04]",6600.0,7,2,2,2,1.0
0,0.010142495,95,0,"(0.04, 12.67]",,2,0,0,0,0.0
0,0.099628177,63,0,"(0.00134, 0.00214]",3943.0,3,0,1,0,0.0
0,0.648648649,24,0,"(0.00287, 0.00367]",1500.0,5,0,0,0,0.0
0,0.069998272,75,0,"(0.00214, 0.00287]",1372.0,10,0,1,0,0.0
0,0.556474706,46,0,"(0.00468, 0.00649]",6694.0,6,0,2,0,3.0
0,0.119961112,44,0,"(0.00287, 0.00367]",23333.0,5,0,2,0,2.0
0,0.048370548,70,0,"(0.000309, 0.00134]",42000.0,11,0,2,0,0.0
0,0.304043782,56,0,"(0.00287, 0.00367]",8200.0,5,0,2,0,0.0
0,0.0,42,0,"(0.04, 12.67]",,5,0,0,0,0.0
0,0.05138923,44,0,"(0.00134, 0.00214]",4500.0,11,0,0,0,1.0
0,0.092492292,61,1,"(-0.001, 0.000309]",4000.0,3,0,0,0,0.0
0,0.553482173,62,0,"(0.00649, 0.04]",200.0,7,0,0,0,0.0
0,0.202214716,45,0,"(0.00367, 0.00468]",8750.0,15,0,2,0,2.0
0,0.064493864,53,0,"(0.00134, 0.00214]",12808.0,8,0,1,0,2.0
0,0.9999999,39,0,"(0.00367, 0.00468]",4250.0,3,0,1,0,3.0
0,0.010332472,33,0,"(0.000309, 0.00134]",16375.0,4,0,1,0,0.0
0,0.812923974,59,1,"(0.00287, 0.00367]",7957.0,10,0,1,0,1.0
0,0.059409269,51,0,"(0.00214, 0.00287]",5640.0,6,0,2,0,4.0
0,0.057337221,28,0,"(0.00134, 0.00214]",3500.0,6,0,0,0,0.0
0,0.014781762,62,0,"(0.000309, 0.00134]",3750.0,12,0,1,0,0.0
0,0.123973114,63,0,"(0.000309, 0.00134]",5101.0,9,0,0,0,0.0
0,0.9999999,35,1,"(0.04, 12.67]",,2,0,0,0,3.0
0,0.260012032,38,0,"(0.00287, 0.00367]",9000.0,9,0,4,0,0.0
0,0.025974026,27,0,"(0.00134, 0.00214]",3200.0,4,0,0,0,0.0
0,0.018898816,61,0,"(12.67, 3296.64]",,15,0,2,0,0.0
0,0.587480425,45,0,"(0.00468, 0.00649]",4500.0,10,0,1,0,3.0
0,0.081735458,46,0,"(0.00468, 0.00649]",5000.0,16,0,2,0,2.0
0,0.821705943,37,2,"(0.00367, 0.00468]",5516.0,10,0,0,0,2.0
0,0.457984329,27,0,"(0.00287, 0.00367]",3750.0,4,0,0,0,0.0
0,0.957980438,45,0,"(0.04, 12.67]",,6,0,0,0,0.0
0,0.485902819,49,0,"(12.67, 3296.64]",,4,0,1,0,0.0
0,0.413431728,44,1,"(0.04, 12.67]",0.0,7,0,1,0,2.0
0,0.00459908,37,0,"(0.00287, 0.00367]",1630.0,2,0,1,0,0.0
0,0.8599199390000001,29,0,"(0.00468, 0.00649]",2750.0,9,0,0,0,0.0
0,0.03322036,66,0,"(0.000309, 0.00134]",3475.0,5,0,0,0,1.0
0,0.567597526,49,0,"(0.00649, 0.04]",7015.0,18,0,2,0,0.0
0,0.830725797,50,0,"(0.00214, 0.00287]",5413.0,4,0,1,0,1.0
0,0.296227713,62,0,"(0.00214, 0.00287]",20750.0,11,0,3,0,1.0
0,0.00036899,43,0,"(-0.001, 0.000309]",5000.0,4,0,0,0,0.0
0,0.367031905,70,0,"(0.00649, 0.04]",7320.0,17,0,3,0,0.0
0,0.0,38,0,"(0.00367, 0.00468]",2300.0,4,0,1,0,0.0
0,0.67426645,32,1,"(0.00134, 0.00214]",6123.0,6,0,0,1,2.0
0,0.042829633,65,0,"(0.00134, 0.00214]",7097.0,7,0,1,0,0.0
0,1.014733259,33,4,"(0.00468, 0.00649]",3650.0,11,0,2,0,0.0
0,0.256011721,46,1,"(0.00468, 0.00649]",10833.0,15,0,3,0,3.0
0,0.572708066,58,0,"(0.00649, 0.04]",2800.0,10,0,2,0,0.0
0,0.003962181,75,0,"(0.00367, 0.00468]",5000.0,11,0,1,0,0.0
0,0.006297346999999999,80,0,"(0.00367, 0.00468]",3500.0,20,0,2,0,1.0
0,0.608371836,33,0,"(0.000309, 0.00134]",6746.0,11,0,0,0,1.0
0,0.001124859,68,0,"(-0.001, 0.000309]",,5,0,0,0,0.0
0,0.051571313,56,1,"(0.00367, 0.00468]",6000.0,15,0,2,0,2.0
0,0.318531575,40,0,"(0.00367, 0.00468]",3428.0,8,0,1,0,0.0
0,0.9999999,22,0,"(-0.001, 0.000309]",,1,0,0,0,
0,0.912716439,53,2,"(0.00134, 0.00214]",8733.0,8,0,0,0,1.0
0,0.0,79,0,"(-0.001, 0.000309]",8000.0,7,0,0,0,1.0
0,0.294223526,63,0,"(0.00367, 0.00468]",5062.0,11,0,2,0,0.0
0,0.035022682,48,1,"(0.00214, 0.00287]",9000.0,6,0,1,0,3.0
0,0.710266443,30,2,"(12.67, 3296.64]",,10,0,1,0,2.0
0,0.066625093,58,0,"(12.67, 3296.64]",,15,0,4,0,0.0
0,0.108887207,49,0,"(0.00367, 0.00468]",4750.0,11,0,1,0,3.0
0,0.107084629,28,0,"(0.000309, 0.00134]",9333.0,11,0,0,0,0.0
0,0.9999999,33,0,"(0.00214, 0.00287]",4056.0,6,0,0,0,3.0
0,0.059949001,43,0,"(0.00287, 0.00367]",8300.0,7,0,1,0,0.0
0,0.32241436100000004,59,0,"(0.00367, 0.00468]",10524.0,25,0,2,0,1.0
0,0.312832708,58,0,"(0.00649, 0.04]",6000.0,9,0,3,0,0.0
0,0.115187624,65,1,"(0.00468, 0.00649]",3333.0,8,0,1,0,0.0
1,0.0,57,0,"(0.00367, 0.00468]",5000.0,13,0,2,0,0.0
0,0.454954505,68,1,"(0.00468, 0.00649]",3670.0,7,0,2,0,0.0
0,0.05942849,31,0,"(0.00367, 0.00468]",3250.0,9,0,1,0,1.0
0,0.099627307,31,0,"(0.00367, 0.00468]",2500.0,2,0,1,0,0.0
0,0.023767433,83,0,"(0.000309, 0.00134]",10500.0,13,0,0,0,0.0
0,0.9999999,29,0,"(-0.001, 0.000309]",,1,1,0,0,0.0
0,0.597596307,59,0,"(0.00468, 0.00649]",8083.0,11,0,2,0,0.0
0,0.126543673,75,0,"(0.00214, 0.00287]",4513.0,9,0,2,0,1.0
0,0.750064372,41,0,"(12.67, 3296.64]",,7,0,2,0,0.0
0,0.215742741,60,0,"(0.000309, 0.00134]",3782.0,6,0,0,0,0.0
0,0.9999999,21,0,"(0.04, 12.67]",,0,0,0,0,
0,0.099517412,71,0,"(0.00468, 0.00649]",4500.0,12,0,0,0,0.0
0,0.055192641,34,0,"(0.00468, 0.00649]",9500.0,10,0,5,0,2.0
0,0.9999999,63,0,"(0.04, 12.67]",,4,0,1,0,0.0
1,0.9999999,45,0,"(0.04, 12.67]",,0,0,0,0,0.0
1,0.533716932,26,1,"(0.00134, 0.00214]",2800.0,5,0,0,0,0.0
0,0.19491006,32,0,"(0.00649, 0.04]",3400.0,19,0,2,0,1.0
0,0.783845062,47,3,"(0.00468, 0.00649]",10416.0,14,0,1,0,0.0
0,0.042293989,29,0,"(0.04, 12.67]",,12,0,0,1,0.0
0,0.100880375,60,0,"(0.00649, 0.04]",4528.0,12,0,5,0,0.0
0,0.06792448400000001,50,0,"(0.00287, 0.00367]",9881.0,11,0,3,0,0.0
0,0.374700591,49,0,"(0.00649, 0.04]",10000.0,20,0,5,0,1.0
0,0.057515371,81,0,"(0.000309, 0.00134]",8350.0,18,0,0,0,1.0
0,0.637454182,32,0,"(0.00468, 0.00649]",3000.0,6,0,1,0,3.0
0,0.0,64,0,"(0.00367, 0.00468]",11333.0,14,0,2,0,1.0
0,0.033783301,53,0,"(0.04, 12.67]",,5,0,0,0,0.0
0,0.0,58,0,"(0.000309, 0.00134]",6700.0,5,0,0,0,0.0
1,1.11887568,71,4,"(0.00287, 0.00367]",6350.0,15,0,0,1,0.0
0,0.081379959,38,0,"(0.00214, 0.00287]",10000.0,10,0,1,0,0.0
0,0.052464415999999986,32,0,"(0.00367, 0.00468]",2310.0,6,0,1,0,0.0
0,0.076057106,69,0,"(0.04, 12.67]",1.0,6,0,0,0,0.0
0,0.470881046,39,0,"(0.00214, 0.00287]",35000.0,8,0,2,0,2.0
0,0.254840762,59,1,"(0.00649, 0.04]",3333.0,16,0,2,0,0.0
1,1.0014514959999998,53,6,"(0.00468, 0.00649]",5816.0,9,0,1,1,0.0
0,0.091311998,60,1,"(0.000309, 0.00134]",13638.0,14,0,1,0,0.0
0,0.071383799,56,1,"(0.000309, 0.00134]",11450.0,5,0,1,0,1.0
0,0.052371522,56,0,"(-0.001, 0.000309]",7184.0,2,0,0,0,0.0
0,0.103974792,62,0,"(0.00367, 0.00468]",3199.0,12,0,1,0,0.0
0,0.073848154,69,0,"(0.00134, 0.00214]",2989.0,6,0,0,0,0.0
0,0.237261926,73,0,"(0.00468, 0.00649]",5833.0,8,0,1,0,0.0
0,0.35536995600000004,27,0,"(0.04, 12.67]",,4,0,0,0,0.0
0,0.016161527,59,0,"(0.00214, 0.00287]",10572.0,7,0,2,1,0.0
0,0.035999363,89,0,"(0.00287, 0.00367]",1648.0,7,0,0,0,0.0
0,0.026086389,64,0,"(0.00214, 0.00287]",3333.0,18,0,1,0,0.0
0,0.003655635,48,0,"(0.00287, 0.00367]",5416.0,8,0,1,0,2.0
0,0.9999999,59,1,"(0.00367, 0.00468]",4700.0,6,0,1,3,1.0
0,0.17216531,59,1,"(0.00214, 0.00287]",18750.0,8,0,2,0,2.0
0,0.113165062,57,0,"(12.67, 3296.64]",,16,0,1,0,3.0
0,0.082952915,44,0,"(0.04, 12.67]",,8,0,0,0,2.0
0,0.7096572590000001,44,0,"(0.00367, 0.00468]",6500.0,6,0,2,0,0.0
0,0.9999999,32,0,"(0.00649, 0.04]",2900.0,6,0,1,0,2.0
0,0.327611959,41,0,"(0.00367, 0.00468]",5200.0,8,0,1,0,0.0
0,0.35715238,52,0,"(0.00134, 0.00214]",4521.0,5,0,1,0,3.0
0,0.011736252,61,0,"(0.00367, 0.00468]",10000.0,15,0,3,0,2.0
0,0.071348433,49,0,"(0.00214, 0.00287]",8600.0,5,0,1,0,0.0
0,0.204179052,61,0,"(0.00287, 0.00367]",10000.0,22,0,1,0,5.0
0,0.072868698,62,0,"(0.00214, 0.00287]",7166.0,13,0,1,0,0.0
0,0.9999999,46,0,"(0.00134, 0.00214]",11083.0,5,0,1,0,0.0
0,0.002878944,51,0,"(0.00134, 0.00214]",12083.0,20,0,1,0,3.0
0,0.054165745,32,0,"(0.00468, 0.00649]",7000.0,9,0,2,0,0.0
0,0.07488058,49,0,"(0.00649, 0.04]",6537.0,11,0,1,0,3.0
1,0.991668123,66,7,"(0.00649, 0.04]",10186.0,7,2,2,0,2.0
0,0.095738063,52,0,"(0.00649, 0.04]",3750.0,10,0,2,0,0.0
0,0.017964722,43,0,"(0.00468, 0.00649]",3500.0,13,0,1,0,0.0
0,0.320098234,38,0,"(0.00468, 0.00649]",7125.0,14,0,3,0,0.0
0,0.0,60,0,"(-0.001, 0.000309]",4792.0,2,0,0,0,1.0
0,0.20497315,58,0,"(0.00468, 0.00649]",3750.0,12,0,1,0,2.0
0,0.182522676,50,0,"(0.000309, 0.00134]",7500.0,13,0,1,0,3.0
0,0.01739826,58,0,"(0.04, 12.67]",,6,0,1,0,0.0
0,0.018631693,86,0,"(-0.001, 0.000309]",7551.0,6,0,0,0,0.0
0,0.200872569,29,0,"(0.04, 12.67]",,9,0,0,0,0.0
0,0.064299133,67,0,"(0.04, 12.67]",,6,0,0,0,0.0
0,0.079996522,63,0,"(0.04, 12.67]",,5,0,1,0,0.0
0,0.171839545,57,0,"(12.67, 3296.64]",,4,0,2,0,0.0
0,0.477321969,49,0,"(0.04, 12.67]",9000.0,54,0,7,0,3.0
0,0.0722328,60,1,"(0.00287, 0.00367]",10358.0,10,0,2,0,0.0
0,0.646353646,31,0,"(0.00287, 0.00367]",2221.0,4,0,0,0,2.0
0,0.566539055,28,0,"(0.00468, 0.00649]",1309.0,6,0,0,0,0.0
0,0.842845715,41,0,"(0.00468, 0.00649]",6000.0,6,0,1,0,0.0
0,0.136147091,49,0,"(0.00214, 0.00287]",8000.0,10,0,2,0,2.0
0,0.776128829,29,0,"(0.00214, 0.00287]",3000.0,4,0,0,0,0.0
0,6875.0,55,0,"(0.000309, 0.00134]",33333.0,6,0,1,0,2.0
0,0.980003999,61,1,"(0.00214, 0.00287]",2327.0,3,0,0,1,0.0
0,0.07149006,63,0,"(12.67, 3296.64]",,5,0,2,0,0.0
0,0.114869499,35,0,"(0.04, 12.67]",,6,0,0,0,0.0
0,0.99690881,56,1,"(0.00649, 0.04]",5000.0,13,0,1,0,1.0
0,0.235790568,62,0,"(12.67, 3296.64]",,6,0,2,0,0.0
0,0.285456748,50,0,"(12.67, 3296.64]",,12,0,1,0,2.0
0,0.07950808,71,0,"(0.04, 12.67]",,7,0,0,0,0.0
0,0.0051597940000000005,81,0,"(0.00649, 0.04]",,3,0,0,0,0.0
0,0.586978752,41,0,"(0.00214, 0.00287]",8333.0,17,0,2,0,2.0
0,0.57341519,32,0,"(0.00649, 0.04]",2200.0,10,0,1,0,0.0
0,0.405808583,61,0,"(0.00214, 0.00287]",5800.0,9,0,0,0,0.0
0,0.013550274,67,0,"(0.00287, 0.00367]",6633.0,13,0,2,0,1.0
0,0.040837961,48,0,"(0.00468, 0.00649]",3000.0,8,0,1,0,2.0
0,0.015441945,48,0,"(0.04, 12.67]",,3,0,0,0,0.0
0,0.291929021,47,0,"(0.00367, 0.00468]",10480.0,15,0,2,0,0.0
1,0.885873543,43,1,"(0.00649, 0.04]",3600.0,24,0,1,0,1.0
0,0.006593117,69,0,"(0.04, 12.67]",,9,0,0,0,0.0
0,0.032525935,72,0,"(0.00214, 0.00287]",8269.0,7,0,2,0,0.0
0,0.978936094,77,0,"(0.00134, 0.00214]",4500.0,13,0,0,0,0.0
0,0.220389805,26,0,"(-0.001, 0.000309]",1600.0,1,0,0,0,0.0
0,1.007998,48,0,"(0.00287, 0.00367]",5825.0,3,0,1,0,4.0
0,0.028798078,62,0,"(12.67, 3296.64]",,5,0,1,0,0.0
0,0.229199296,32,0,"(0.00214, 0.00287]",7480.0,9,0,1,0,3.0
1,0.9999999,30,1,"(0.000309, 0.00134]",4400.0,3,1,0,0,1.0
0,0.210731108,58,0,"(0.00649, 0.04]",5000.0,14,0,3,0,1.0
0,0.7394941509999999,43,0,"(0.00649, 0.04]",2500.0,14,0,6,1,0.0
0,0.940291586,42,0,"(0.00134, 0.00214]",8300.0,3,0,0,0,4.0
1,0.861569215,40,0,"(0.00134, 0.00214]",5002.0,8,0,0,0,1.0
0,0.043006283,85,0,"(-0.001, 0.000309]",3000.0,6,0,0,0,0.0
0,0.639249038,42,1,"(0.00214, 0.00287]",19666.0,10,0,1,0,3.0
0,0.748242958,42,1,"(0.00287, 0.00367]",10415.0,6,0,1,0,3.0
0,0.150034322,68,0,"(0.00134, 0.00214]",2800.0,8,0,0,0,0.0
1,0.786697903,33,0,"(0.00649, 0.04]",4048.0,15,0,13,0,0.0
0,0.9999999,58,0,"(0.00287, 0.00367]",4300.0,5,0,1,0,1.0
0,0.068940112,85,0,"(-0.001, 0.000309]",2500.0,5,0,0,0,0.0
0,0.122781329,63,0,"(0.00367, 0.00468]",3200.0,7,0,1,0,0.0
0,0.929364572,33,1,"(0.00214, 0.00287]",6000.0,6,0,1,0,0.0
0,0.0,56,0,"(-0.001, 0.000309]",10700.0,2,0,0,0,0.0
0,0.8522524359999999,50,0,"(0.00468, 0.00649]",4100.0,13,0,1,0,2.0
0,0.005240192,46,0,"(0.000309, 0.00134]",20000.0,8,0,0,0,3.0
0,0.089804066,56,0,"(0.00468, 0.00649]",5283.0,33,0,1,0,0.0
0,0.051998496,42,0,"(0.00214, 0.00287]",3305.0,13,0,0,0,0.0
0,0.027614677,43,0,"(0.00214, 0.00287]",8333.0,9,0,2,0,2.0
0,0.0,76,0,"(-0.001, 0.000309]",6723.0,1,0,0,0,0.0
0,0.0,48,0,"(0.00468, 0.00649]",6000.0,7,0,2,0,1.0
0,0.0,65,0,"(-0.001, 0.000309]",8333.0,4,0,0,0,1.0
0,0.444738759,37,0,"(0.00214, 0.00287]",2400.0,4,0,0,0,0.0
0,0.007622166,88,0,"(-0.001, 0.000309]",2450.0,8,0,0,0,0.0
0,0.190229874,57,1,"(0.00287, 0.00367]",8533.0,12,1,3,0,0.0
1,0.671166345,61,2,"(0.000309, 0.00134]",4000.0,6,0,0,0,1.0
0,0.008744399,89,0,"(0.00134, 0.00214]",5000.0,7,0,1,0,0.0
0,0.03915408,79,2,"(-0.001, 0.000309]",5000.0,13,0,0,0,0.0
0,0.820063608,48,0,"(0.00649, 0.04]",3044.0,11,0,1,0,2.0
0,0.151313947,65,0,"(0.00134, 0.00214]",10576.0,5,0,1,0,0.0
0,0.7736452709999999,35,0,"(0.000309, 0.00134]",2916.0,1,0,0,0,1.0
0,0.003720005,68,0,"(0.000309, 0.00134]",10230.0,9,0,1,0,0.0
0,0.571923744,54,0,"(0.00649, 0.04]",3000.0,3,0,2,0,1.0
0,0.004416483,74,0,"(-0.001, 0.000309]",3186.0,5,0,0,0,0.0
0,0.03167818,39,0,"(0.00367, 0.00468]",7234.0,14,0,1,0,3.0
0,0.194897924,73,0,"(0.04, 12.67]",,5,0,0,0,0.0
0,0.005557778,51,0,"(0.00287, 0.00367]",3500.0,6,0,0,0,0.0
0,0.300059485,38,0,"(0.00214, 0.00287]",8300.0,8,0,1,0,2.0
0,0.021825138,52,0,"(0.00649, 0.04]",4000.0,12,0,3,0,2.0
0,0.231796267,76,0,"(0.00367, 0.00468]",2700.0,8,0,2,0,1.0
0,1.017216892,47,3,"(0.00468, 0.00649]",10000.0,7,0,1,0,1.0
0,0.388850697,62,1,"(0.000309, 0.00134]",9000.0,8,0,1,0,2.0
0,0.010990959,75,0,"(0.000309, 0.00134]",2900.0,7,0,0,0,0.0
0,0.537253035,31,0,"(0.00134, 0.00214]",2658.0,4,0,0,0,0.0
0,0.259302706,73,0,"(0.00214, 0.00287]",7500.0,8,0,1,0,0.0
0,0.042991402000000005,68,0,"(0.000309, 0.00134]",3200.0,2,0,0,1,0.0
0,0.017115672,73,0,"(-0.001, 0.000309]",2500.0,4,0,0,0,0.0
1,0.037910913,46,0,"(0.00367, 0.00468]",6100.0,18,0,2,0,1.0
0,0.77290241,78,0,"(0.00649, 0.04]",2811.0,21,0,1,0,0.0
0,0.417055646,54,0,"(12.67, 3296.64]",,14,0,2,0,0.0
0,0.079328045,58,0,"(12.67, 3296.64]",,3,0,1,0,
0,0.180419062,44,0,"(0.00214, 0.00287]",7800.0,9,0,1,0,3.0
1,0.918216357,32,0,"(0.04, 12.67]",,2,1,0,1,0.0
0,0.174130423,53,0,"(0.00367, 0.00468]",3832.0,11,0,1,0,0.0
0,0.32634982,59,0,"(0.00287, 0.00367]",3883.0,8,0,0,0,0.0
0,0.547955773,70,0,"(0.00367, 0.00468]",6530.0,5,0,2,0,0.0
0,0.012832276,77,0,"(0.00214, 0.00287]",3254.0,5,0,0,0,0.0
0,0.0,47,1,"(0.00367, 0.00468]",3323.0,7,0,1,0,2.0
0,0.523956968,55,0,"(0.00468, 0.00649]",7677.0,8,0,1,0,0.0
0,0.776262667,56,0,"(0.00214, 0.00287]",10000.0,9,0,2,0,4.0
0,0.132093448,81,0,"(0.00134, 0.00214]",5500.0,20,0,0,0,0.0
0,0.33341322100000004,52,0,"(0.00468, 0.00649]",5577.0,16,0,1,0,1.0
0,0.061706159,60,0,"(12.67, 3296.64]",,7,0,1,0,
0,0.512928229,28,0,"(0.00287, 0.00367]",1600.0,7,0,0,0,2.0
0,0.581681255,48,0,"(0.00649, 0.04]",6533.0,10,0,2,0,0.0
0,0.558648499,44,0,"(0.00367, 0.00468]",13000.0,18,0,2,0,2.0
0,0.016184175,78,0,"(0.000309, 0.00134]",5000.0,6,0,1,0,0.0
0,0.523483234,40,1,"(0.00287, 0.00367]",7078.0,8,0,0,0,2.0
0,0.095498173,44,1,"(12.67, 3296.64]",,12,0,3,0,1.0
0,0.375983094,40,0,"(0.00468, 0.00649]",6000.0,14,0,1,0,2.0
0,0.088329119,45,0,"(0.00649, 0.04]",181.0,5,0,0,0,2.0
0,0.006817227,53,0,"(0.00134, 0.00214]",5000.0,6,0,1,0,0.0
0,0.0,71,0,"(-0.001, 0.000309]",2026.0,9,0,0,0,0.0
0,0.207575908,29,0,"(0.00134, 0.00214]",5200.0,5,0,0,0,0.0
0,0.09134034,38,0,"(12.67, 3296.64]",,7,0,1,0,2.0
0,0.030755094,50,0,"(0.00367, 0.00468]",2500.0,9,0,0,0,0.0
0,0.061123291,64,0,"(0.00214, 0.00287]",17333.0,15,0,3,0,1.0
0,0.200789961,50,0,"(0.00214, 0.00287]",6666.0,5,0,1,0,2.0
0,0.0,46,0,"(0.00287, 0.00367]",10500.0,4,0,2,0,0.0
0,0.09957969,72,0,"(0.00367, 0.00468]",5600.0,7,0,1,0,0.0
0,0.097043249,48,0,"(0.00287, 0.00367]",8718.0,6,0,1,0,4.0
0,0.039028368,43,0,"(0.00287, 0.00367]",6150.0,6,0,1,0,3.0
