ADDRESS,RV
"Post Office, West Bolton, Alnwick, Northumberland, NE66 2EE",590
"Breamish Hall, Powburn, Alnwick, Northumberland, NE66 4HL",4000
"Breamish Hall, Powburn, Alnwick, Northumberland, NE66 4HL",4000
"Jubilee Hall, West Hedgeley, Powburn, Alnwick, Northumberland, NE66 4JB",2550
"Jubilee Hall, West Hedgeley, Powburn, Alnwick, Northumberland, NE66 4JB",2550
"The Wickets, Alnmouth Road, Lesbury, Alnwick, Northumberland, NE66 3NE",3350
"Howick Hall Grounds, Howick Hall, Alnwick, NE66 3LB",1350
"Lifeboat Station, Boulmer Village, Boulmer, Alnwick, Northumberland, NE66 3BT",5200
"Lifeboat Station, Boulmer Village, Boulmer, Alnwick, Northumberland, NE66 3BT",5200
"Memorial Hall, Boulmer Village, Boulmer, Alnwick, Northumberland, NE66 3BS",1175
"Memorial Hall, Boulmer Village, Boulmer, Alnwick, Northumberland, NE66 3BS",1175
"Scots Gap Caravan Association, Scots Gap, Boulmer, Alnwick, Northumberland, NE66 3BJ",2475
"Seaton Point Caravan Site, Boulmer, Alnwick, Northumberland, NE66 3BH",6300
"Site 5 Seaton Point, Boulmer, Alnwick, Northumberland, NE66 3BH",445
"Jubilee Hall, Newton On The Moor, Morpeth, Northumberland, NE65 9JY",1825
"Jubilee Hall, Newton On The Moor, Morpeth, Northumberland, NE65 9JY",1825
"Cook & Barker Arms, Newton On The Moor, Morpeth, Northumberland, NE65 9JY",73000
"T W Barnes, Swarland, Morpeth, Northumberland, NE65 9HU",1425
"Swarland Village Club, Coast View, Swarland, Morpeth, Northumberland, NE65 9JG",3550
"Swarland Village Hall, Coast View, Swarland, Morpeth, Northumberland, NE65 9JG",1875
"Swarland Village Hall, Coast View, Swarland, Morpeth, Northumberland, NE65 9JG",1875
"Village Hall, Rennington, Alnwick, Northumberland, NE66 3RR",3150
"Village Hall, Rennington, Alnwick, Northumberland, NE66 3RR",3150
"Rock Cricket Club, Rock, Alnwick, Northumberland, NE66 3SD",740
"Adj Hazeldene, South View, Shilbottle, Alnwick, Northumberland, NE66 2XG",5700
"Adj 1, Chapel Row, North Broomhill, Morpeth, Northumberland, NE65 9TU",2100
"11, Togston Road, North Broomhill, Morpeth, NE65 9TW",4250
"Birling West Caravan Site, Birling, Warkworth, Morpeth, Northumberland, NE65 0XS",2200
"Golf Course Birling Links, Birling Links, Warkworth, Morpeth, Northumberland, NE65 0ND",9400
"Northfield Farm Caravan Site, Warkworth, Morpeth, Northumberland, NE65 0XT",10000
"Birling Quarry, Birling, Warkworth, Morpeth, Northumberland, NE65 0XS",1775
"Yacht Club, The Braid, Amble, Morpeth, Northumberland, NE65 0HH",4450
"Amble Boat Club, The Braid, Amble, Morpeth, Northumberland, NE65 0HH",1600
"The Jackdaw, 34, Castle Street, Warkworth, Morpeth, Northumberland, NE65 0UN",5900
"Warkworth War Memorial Institute, Castle Street, Warkworth, Morpeth, Northumberland, NE65 0UN",6000
"Warkworth War Memorial Institute, Castle Street, Warkworth, Morpeth, Northumberland, NE65 0UN",6000
"Warkworth County First School, Guilden Road, Warkworth, Morpeth, NE65 0TJ",20250
"Warkworth Cricket Club, Warkworth, Morpeth, Northumberland, NE65 0UJ",3750
"Messrs Murray & Guthrie, Alnwick Moor, Alnwick, Northumberland, NE66 2AH",6800
"1, Aydon Gardens, Alnwick, Northumberland, NE66 2NT",4500
"15-17, Bondgate Within, Alnwick, Northumberland, NE66 1SX",19250
"30, Bondgate Within, Alnwick, Northumberland, NE66 1TD",30750
"G Skipper, Greenwell Road, Alnwick, Northumberland, NE66 1HB",3850
"37, Bondgate Without, Alnwick, Northumberland, NE66 1PR",9300
"12, Bondgate Without, Alnwick, Northumberland, NE66 1PP",3500
"The Playhouse, Bondgate Without, Alnwick, Northumberland, NE66 1PN",10750
"The Playhouse, Bondgate Without, Alnwick, Northumberland, NE66 1PN",10750
"Alnwick Working Mens Club & Institut, Clayport Street, Alnwick, Northumberland, NE66 1LA",7400
"Alnwick Bowling Club, Dispensary Street, Alnwick, Northumberland, NE66 1LS",3100
"24, Green Batt, Alnwick, Northumberland, NE66 1TS",3350
"Walker House, Green Batt, Alnwick, Northumberland, NE66 1TU",9000
"Raf Association, Lisburn Street, Alnwick, NE66 1UR",1925
"Town Hall, Market Place, Alnwick, Northumberland, NE66 1HS",1900
"37, Market Street, Alnwick, Northumberland, NE66 1SS",14750
"49, Bondgate Within, Alnwick, Northumberland, NE66 1HZ",3050
"Masonic Hall, Prudhoe Street, Alnwick, NE66 1UW",3000
"St James Park, Weavers Way, Alnwick, Northumberland, NE66 1BW",8000
"Messrs Rule & Son, Sawmills Industri, Al Estate South Road, Alnwick, Northumberland, NE66 2QW",7500
"R Aynsley, Sawmills Industrial Estat, E South Road, Alnwick, Northumberland, NE66 2QW",7200
"Wingates Village Institute, Wingates, Morpeth, Northumberland, NE65 8RW",960
"Wingates Village Institute, Wingates, Morpeth, Northumberland, NE65 8RW",960
"I Clow, Middleton Street, Amble, Morpeth, Northumberland, NE65 0ET",1175
"A Brown, Broomhill Quay, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",730
"The Chesters, Prendwick, Whittingham, Alnwick, Northumberland, NE66 4UZ",1050
"The Chesters, Prendwick, Whittingham, Alnwick, Northumberland, NE66 4UZ",1050
"Creighton Memorial Hall, Embleton, Alnwick, Northumberland, NE66 3UP",6800
"Creighton Memorial Hall, Embleton, Alnwick, Northumberland, NE66 3UP",6800
"North Cottage, Birling, Warkworth, Morpeth, Northumberland, NE65 0XS",3575
"1-4, Wooden Farm Cottages, Lesbury, Alnwick, Northumberland, NE66 2TW",11750
"10, Market Place, Alnwick, Northumberland, NE66 1HS",6900
"Wilson Safety Supplies, Gibson Street, Amble, Morpeth, NE65 0LR",3350
"Patterson, Cottage, Chathill, Northumberland, NE67 5HU",3050
"Office At Pele Tower, Whitton, Morpeth, Northumberland, NE65 7RL",2000
"The Garden Cottage R/O Windley, Harbottle, Morpeth, Northumberland, NE65 7DG",1600
"21, Castle Street, Warkworth, Morpeth, Northumberland, NE65 0UW",5900
"59, Bondgate Within, Alnwick, Northumberland, NE66 1HZ",7700
"M Arkle, Old Station Yard, Rothbury, Morpeth, Northumberland, NE65 7QP",1125
"The Grange, Prudhoe Street, Alnwick, NE66 1PZ",6300
"Belle Vue, High Street, Rothbury, Morpeth, Northumberland, NE65 7TH",4550
"Lumby Law Cottage, Edlingham, Alnwick, Northumberland, NE66 2BW",3350
"18, Coquet Street, Amble, Morpeth, Northumberland, NE65 0DJ",1875
"19, Percy Street, Amble, Morpeth, Northumberland, NE65 0AG",4350
"4, Bede Street, Amble, Morpeth, Northumberland, NE65 0EA",3700
"Bells Of Rothbury, Old Station Yard, Rothbury, Morpeth, Northumberland, NE65 7QP",4150
"35, Bondgate Within, Alnwick, Northumberland, NE66 1SX",7400
"Greenwell House, Townfoot, Rothbury, Morpeth, Northumberland, NE65 7SP",7000
"34, Albert Street, Amble, Morpeth, Northumberland, NE65 0LU",4150
"5, Rothley Crag Cottages, Rothley Crag, Longwitton, Morpeth, NE61 4JT",660
"2, Carlcroft, Harbottle, Morpeth, Northumberland, NE65 7DD",800
"Unit 1d, Willowtree Industrial Estate, Alnwick, Northumberland, NE66 2HA",11500
"Tosson Tower Farm & Forge Cottage, Great Tosson, Morpeth, Northumberland, NE65 7NW",7400
"R N L I Boat House, Craster Harbour, Craster, Alnwick, Northumberland, NE66 3ST",5000
"R N L I Boat House, Craster Harbour, Craster, Alnwick, Northumberland, NE66 3ST",5000
"Little Mill, Farm, Alnwick, Northumberland, NE66 3LL",6500
"19, Castle Street, Warkworth, Morpeth, Northumberland, NE65 0UW",6700
"The Coastguards Cottage, Newton-By-The-Sea, Alnwick, Northumberland, NE66 3EH",2400
"9, West End, Craster, Alnwick, Northumberland, NE66 3TS",7300
"Amble M A C P I, Dilston Terrace, Amble, Morpeth, Northumberland, NE65 0DT",1800
"Amble M A C P I, Dilston Terrace, Amble, Morpeth, Northumberland, NE65 0DT",1800
"Thropton Village First School, Thropton, Morpeth, Northumberland, NE65 7JD",11500
"Elm Tree House, High Street, Rothbury, Morpeth, Northumberland, NE65 7TE",5700
"39a, Bondgate Within, Alnwick, Northumberland, NE66 1SX",7100
"39a, Bondgate Within, Alnwick, Northumberland, NE66 1SX",7100
"7, Bowmere, Boulmer, Alnwick, Northumberland, NE66 3DA",3750
"The Hemmel, Elsdon, Newcastle Upon Tyne, NE19 1AF",3200
"1, Broomhill Street, Amble, Morpeth, Northumberland, NE65 0AN",3250
"Beanley Kennels, Beanley, Alnwick, Northumberland, NE66 2DX",10750
"3, Coastguard Cottages, Newton-By-The-Sea, Alnwick, Northumberland, NE66 3EH",6200
"1st & 2nd Flrs 10, Fenkle Street, Alnwick, Northumberland, NE66 1HR",9300
"Snook Point Cottage, 9, High Newton Farm Cottages, Newton By The Sea, Alnwick, Northd, NE66 3ED",4450
"Windy Edge Stables, Alnmouth Road, Alnwick, Northumberland, NE66 2QB",3000
"Townfoot Stables, Townfoot Farm, Shilbottle, Alnwick, Northumberland, NE66 2HG",12250
"60, Queen Street, Amble, Morpeth, Northumberland, NE65 0BZ",4950
"Garden Cottage, Cragside, Rothbury, Morpeth, Northumberland, NE65 7PU",9000
"Holiday Cottages, High Weldon, Longframlington, Morpeth, Northumberland, NE65 8AZ",10500
"2, Narrowgate, Alnwick, Northumberland, NE66 1JG",33750
"Market Place Butchery, Paikes Street, Alnwick, Northumberland, NE66 1HX",6700
"Estate Office At Eslington Park, Whittingham, Alnwick, Northumberland, NE66 4UR",2250
"Tullys Of Rothbury, High Street, Rothbury, Morpeth, Northumberland, NE65 7TB",5900
"Rothbury Bakery, High Street, Rothbury, Morpeth, Northumberland, NE65 7TE",4200
"Reigham Quarry, Alnwick Moor, Alnwick, Northumberland, NE66 2AJ",8100
"11, Fenkle Street, Alnwick, Northumberland, NE66 1HW",7700
"Coquetdale Arts Centre, Front Street, Rothbury, Morpeth, Northumberland, NE65 7TZ",7800
"Coquetdale Arts Centre, Front Street, Rothbury, Morpeth, Northumberland, NE65 7TZ",7800
"8, Clayport Street, Alnwick, Northumberland, NE66 1JU",9600
"Tindles Hill Caravan Park, Westerheugh, Longhorsley, Morpeth, Northumberland, NE65 8RH",7150
"Cartwheel Cottage Westerheugh Farm, Longhorsley, Morpeth, Northumberland, NE65 8RH",2000
"John Bull Inn, Howick Street, Alnwick, Northumberland, NE66 1UY",7100
"2, Lovaine Terrace, Alnmouth, Alnwick, Northumberland, NE66 2RQ",5200
"Westerheugh Caravan Site, Longhorsley, Morpeth, Northumberland, NE65 8RH",3300
"Seascape, The Skeres, Craster, Alnwick, Northumberland, NE66 3TN",6200
"Site H, Coquet Industrial Estate, Amble, Morpeth, Northumberland, NE65 0PE",4050
"17, Wellwood Street, Amble, Morpeth, Northumberland, NE65 0EN",7000
"Katerinas Guest House Sun Buildings, High Street, Rothbury, Morpeth, Northumberland, NE65 7TQ",3000
"Lesbury Bowling & Tennis Club, Lesbury, Alnwick, Northumberland, NE66 3PP",1400
"Lesbury Bowling & Tennis Club, Lesbury, Alnwick, Northumberland, NE66 3PP",1400
"75, Links Avenue, Amble, Morpeth, Northumberland, NE65 0RX",5100
"Unit 4d, Old Station Yard, Rothbury, Morpeth, Northumberland, NE65 7QP",2750
"Unit 1, Glendale Court, Amble, Morpeth, Northumberland, NE65 0RJ",1750
"1, Dial Place, Warkworth, Morpeth, Northumberland, NE65 0UR",5100
"Shepherds Law, Hermitage, Alnwick, Northumberland, NE66 2DZ",400
"Shepherds Law, Hermitage, Alnwick, Northumberland, NE66 2DZ",400
"The Old Smithy, West Bolton, Alnwick, Northumberland, NE66 2EE",2750
"Lesbury Glebe Cottage, Lesbury Glebe, Lesbury, Alnwick, Northumberland, NE66 3AU",4600
"Old Congregational Church Hall, High Street, Rothbury, Morpeth, NE65 7TL",2700
"Wingates Sawmill, Wingates, Morpeth, Northumberland, NE65 8RW",4050
"Denecroft Garage, Great North Road, Alnwick, Northumberland, NE66 2JA",14750
"Denecroft Garage, Great North Road, Alnwick, Northumberland, NE66 2JA",14750
"Coal Yard, The Wynd, Amble, Morpeth, Northumberland, NE65 0LL",2700
"Handi Stationery, Market Place, Alnwick, Northumberland, NE66 1HS",12750
"Site 1 Seaton Point, Boulmer, Alnwick, Northumberland, NE66 3BH",370
"Rothbury House, West End, Rothbury, Morpeth, Northumberland, NE65 7TT",50500
"3, The Shambles, Alnwick, Northumberland, NE66 1TN",7100
"Kiddies Kabin, The Shambles, Alnwick, Northumberland, NE66 1TN",3650
"Bretts Oils Ltd, Willowtree Industrial Estate, Alnwick, Northumberland, NE66 2PF",3300
"32, Bondgate Within, Alnwick, Northumberland, NE66 1TD",21250
"Greensfield, Moor, Alnwick, Northumberland, NE66 2HH",19750
"16, Bede Street, Amble, Morpeth, Northumberland, NE65 0EA",8500
"11, Church Street, Amble, Morpeth, Northumberland, NE65 0DZ",5600
"P E C Furniture Ltd, Coquet Enterprise Park, Amble, Morpeth, Northumberland, NE65 0PE",12750
"Unit 16, Coquet Enterprise Park, Amble, Morpeth, Northumberland, NE65 0PE",6500
"Masonic Hall, Gloster Terrace, Amble, Morpeth, Northumberland, NE65 0LN",4600
"Amble Bowling Club, High Street, Amble, Morpeth, Northumberland, NE65 0LE",2350
"Amble Bowling Club, High Street, Amble, Morpeth, Northumberland, NE65 0LE",2350
"Store No 1, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",950
"Store No 13, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",1175
"Store No 14, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",1175
"16, Newburgh Street, Amble, Morpeth, Northumberland, NE65 0AQ",3250
"5, Church Street, Amble, Morpeth, Northumberland, NE65 0BZ",13250
"100, Queen Street, Amble, Morpeth, Northumberland, NE65 0DQ",5500
"R Robinson, Broomhill Quay, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",1050
"Harrisons Yard, Coquet Street, Amble, Morpeth, Northumberland, NE65 0DJ",1825
"Radcliffe Working Mens Club & Instit, Ute Ltd Charles Road, Amble, Morpeth, Northumberland, NE65 0SQ",9300
"Harbottle Road Caravan Site, Alwinton, Morpeth, Northumberland, NE65 7BQ",470
"Village Hall, Elsdon, Newcastle Upon Tyne, NE19 1AA",3500
"Village Hall, Elsdon, Newcastle Upon Tyne, NE19 1AA",3500
"Harbottle C E Aided First School, Harbottle, Morpeth, Northumberland, NE65 7DG",4350
"Star Inn, Harbottle, Morpeth, Northumberland, NE65 7DG",1125
"Star Inn, Harbottle, Morpeth, Northumberland, NE65 7DG",1125
"Holly Tree Cottage, Holystone, Morpeth, Northumberland, NE65 7AJ",810
"Holly Tree Cottage, Holystone, Morpeth, Northumberland, NE65 7AJ",810
"Billsmoor Foot, Elsdon, Newcastle Upon Tyne, NE19 1AP",9150
"Village Hall, Hepple, Morpeth, Northumberland, NE65 7LH",1400
"Village Hall, Hepple, Morpeth, Northumberland, NE65 7LH",1400
"Londis Supermarket, Front Street, Longframlington, Morpeth, Northumberland, NE65 8DR",6600
"Londis Supermarket, Front Street, Longframlington, Morpeth, Northumberland, NE65 8DR",6600
"R Green & Sons, Front Street, Longframlington, Morpeth, Northumberland, NE65 8DR",3050
"R Green & Sons, Front Street, Longframlington, Morpeth, Northumberland, NE65 8DR",3050
"3, Rothbury Road, Longframlington, Morpeth, NE65 8HU",1250
"West Lane Caravan Park, Longframlington, Morpeth, Northumberland, NE65 8AJ",12250
"Star Inn, Netherton, Morpeth, Northumberland, NE65 7HD",800
"Star Inn, Netherton, Morpeth, Northumberland, NE65 7HD",800
"Wayside Garage, Netherton, Morpeth, Northumberland, NE65 7HD",7900
"War Memorial Hall, Netherton, Morpeth, Northumberland, NE65 7EZ",1950
"War Memorial Hall, Netherton, Morpeth, Northumberland, NE65 7EZ",1950
"Portland House, Brewery Lane, Rothbury, Morpeth, Northumberland, NE65 7PB",3350
"Pattel Hair Studio, Copletch Lane, Townfoot, Rothbury, Morpeth, Northumberland, NE65 7SP",4450
"Jubilee Hall, Bridge Street, Rothbury, Morpeth, Northumberland, NE65 7SD",9400
"Jubilee Hall, Bridge Street, Rothbury, Morpeth, Northumberland, NE65 7SD",9400
"Armstrong Park, Knocklaw, Rothbury, Morpeth, Northumberland, NE65 7YU",990
"J R Soulsby & Sons, Front Street, Rothbury, Morpeth, Northumberland, NE65 7SU",5600
"Rothbury Recreation Club, Riverside, Rothbury, Morpeth, Northumberland, NE65 7NS",12250
"Rothbury Recreation Club, Riverside, Rothbury, Morpeth, Northumberland, NE65 7NS",12250
"Adj To Unit, 4a, Old Station Yard, Rothbury, Morpeth, Northumberland, NE65 7QP",2400
"D Appleby, Old Station Yard, Rothbury, Morpeth, Northumberland, NE65 7QP",6800
"Rothbury Golf Club, Whitton Road, Rothbury, Morpeth, Northumberland, NE65 7TR",21250
"Memorial Hall, Thropton, Morpeth, Northumberland, NE65 7LT",3050
"Memorial Hall, Thropton, Morpeth, Northumberland, NE65 7LT",3050
"Whittingham Memorial Institute, Whittingham, Alnwick, Northumberland, NE66 4UP",4100
"Whittingham Memorial Institute, Whittingham, Alnwick, Northumberland, NE66 4UP",4100
"Lime Lodge Guest House, 9, Lime Street, Amble, Morpeth, Northumberland, NE65 0AD",2800
"34, Queen Street, Amble, Morpeth, Northumberland, NE65 0BZ",4650
"4, St Marys Cottages, Newton By The Sea, Alnwick, NE66 3EN",4050
"North Cottage, Boulmer, Alnwick, NE66 3BX",3200
"Lavender Cottage, 17a, Bailiffgate, Alnwick, NE66 1LZ",3800
"Morwick Dairy, Morwick Farm, Old Morwick, Acklington, Morpeth, NE65 9DG",2100
"K A Henderson, Coquet Industrial Estate, Amble, Morpeth, Northumberland, NE65 0PE",3950
"High Learchild Farm, Whittingham, Alnwick, NE66 4SA",730
"Sewage Treatment Works, Craster South Farm, Craster, Alnwick, Northumberland, NE66 3ST",280
"Riding Centre Rock Moor Farm, Rock, Alnwick, Northumberland, NE66 2TQ",9400
"6-8, Front Street, Glanton, Alnwick, Northumberland, NE66 4AT",3800
"6-8, Front Street, Glanton, Alnwick, Northumberland, NE66 4AT",3800
"Village Hall, Lesbury, Alnwick, Northumberland, NE66 3PP",3400
"Village Hall, Lesbury, Alnwick, Northumberland, NE66 3PP",3400
"9, Clayport Street, Alnwick, Northumberland, NE66 1LA",7800
"Cemetery, South Road, Alnwick, Northumberland, NE66 2PH",10500
"26, Queen Street, Amble, Morpeth, Northumberland, NE65 0BZ",7000
"Amble Harbour, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",7500
"Amble Harbour, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",7500
"Memorial Hall, Rothbury Road, Longframlington, Morpeth, NE65 8AH",3900
"Memorial Hall, Rothbury Road, Longframlington, Morpeth, NE65 8AH",3900
"Thomlinsons C Of E Middle School, Silverton Lane, Rothbury, Morpeth, NE65 7RJ",64000
"16, Narrowgate, Alnwick, Northumberland, NE66 1JG",9700
"Bathing House, Howick Hall, Alnwick, NE66 3LB",4450
"The Playhouse, Bondgate Without, Alnwick, Northumberland, NE66 1PN",13500
"The Playhouse, Bondgate Without, Alnwick, Northumberland, NE66 1PN",13500
"Castle Corner, Bailiffgate, Alnwick, Northumberland, NE66 1NA",3650
"Adj Welfare Hall, Grange Road, Shilbottle, Alnwick, Northumberland, NE66 2XH",465
"M Pringle, Main Street, Radcliffe, Morpeth, Northumberland, NE65 0JB",9400
"Anything Goes The Warehouse, New Row, Alnwick, Northumberland, NE66 1JT",10000
"7-9, Market Place, Alnwick, Northumberland, NE66 1HS",19000
"61, Bondgate Within, Alnwick, Northumberland, NE66 1HZ",15000
"1, Victoria Place, Alnmouth, Alnwick, Northumberland, NE66 2RX",3800
"40, Narrowgate, Alnwick, Northumberland, NE66 1JQ",18750
"40, Narrowgate, Alnwick, Northumberland, NE66 1JQ",18750
"1, Broome Hill Farm Cottage, Alnwick, Northumberland, NE66 2BA",3200
"Longframlington Gardens, Swarland Road, Longframlington, Morpeth, Northumberland, NE65 8BE",3550
"Store, Birchwood House, Kitswell Dene, Felton, Morpeth, Northumberland, NE65 9NZ",3800
"23, Northumberland Street, Alnmouth, Alnwick, Northumberland, NE66 2RJ",9200
"9, Dunstanburgh Road, Craster, Alnwick, Northumberland, NE66 3TT",4450
"Sunshine Cottage, 17b, Bailiffgate, Alnwick, Northumberland, NE66 1LZ",2400
"29, Bondgate Within, Alnwick, Northumberland, NE66 1SX",17500
"Victoria House, 22a, Victoria Crescent, Alnwick, Northumberland, NE66 1RQ",2500
"Orchard House, High Street, Rothbury, Morpeth, NE65 7TL",5400
"67, Queen Street, Amble, Morpeth, Northumberland, NE65 0DA",4800
"C R Armstrong, Broomhill Quay, Quayside, Amble, Morpeth, Northumberland, NE65 0AP",1050
"57, Northumberland Street, Alnmouth, Alnwick, NE66 2RS",7700
"The Lodge Cottage, Northumberland Street, Alnmouth, Alnwick, Northumberland, NE66 2RJ",3800
"6, Youngers Terrace, Warkworth, Morpeth, NE65 0UU",3050
"3/3a, Bondgate Without, Alnwick, Northumberland, NE66 1PY",10750
"Picklewood Cottage, Longframlington, Morpeth, NE65 8BD",3650
"24, Acklington Village, Acklington, Morpeth, NE65 9BW",640
"Coble Cottage 6, Boulmer Village, Boulmer, Alnwick, Northumberland, NE66 3BP",3200
"Alnmouth Golf Club, Foxton, Alnwick, NE66 3BE",40500
"Brambles, Coquet Enterprise Park, Amble, Morpeth, Northumberland, NE65 0PE",18500
"22, Dial Place, Warkworth, Morpeth, Northumberland, NE65 0XQ",10750
"1, Bondgate Within, Alnwick, Northumberland, NE66 1SX",12250
"Shipley Lane Equestrian Centre, Shipley Lane, Alnwick, Northumberland, NE66 2LS",12000
"Raf Boulmer Nursery School R/O 1st School, Lacey Street, Longhoughton, Alnwick, Northd, NE66 3AJ",5000
"Cadet Centre (Acf/Atc), Scott Street, Amble, Morpeth, Northumberland, NE65 0NU",3100
"Cadet Centre (Acf/Atc), Scott Street, Amble, Morpeth, Northumberland, NE65 0NU",3100
"Cadet Centre (Acf), Whitton Road, Rothbury, Morpeth, Northumberland, NE65 7RX",1325
"Cadet Centre (Acf), Whitton Road, Rothbury, Morpeth, Northumberland, NE65 7RX",1325
"Gnd Flr Senerig, Bridge Street, Rothbury, Morpeth, Northumberland, NE65 7SE",1900
"20, Dial Place, Warkworth, Morpeth, Northumberland, NE65 0XQ",2900
"Unit 6h, Greensfield Court, Greensfield Industrial Estate, Alnwick, Northumberland, NE66 2DE",6600
"Unit 4d, Willowtree Industrial Estate, Alnwick, Northumberland, NE66 2PF",7200
"4a-4b, Clayport Street, Alnwick, Northumberland, NE66 1JU",6300
"Aln Cottage, 3, Upper Dodds Lane, Alnwick, Northumberland, NE66 1AD",3050
"2, Old Coastguard Cottages, Amble, Morpeth, Northumberland, NE65 0AY",6300
"19, Clayport Street, Alnwick, Northumberland, NE66 1LA",3000
"Copperfields, 11, Market Street, Alnwick, Northumberland, NE66 1SS",10000
"Aln House, South Road, Alnwick, Northumberland, NE66 2NZ",6800
"3-5, Clayport Street, Alnwick, Northumberland, NE66 1LA",10000
"Alnwick Computerware, Market Place, Alnwick, Northumberland, NE66 1HS",13500
"Adj 29, Dispensary Street, Alnwick, Northumberland, NE66 1LS",670
"Queens Head Hotel, Front Street, Rothbury, Morpeth, Northumberland, NE65 7SR",30750
"Brinkburn Mill, Brinkburn, Longframlington, Morpeth, NE65 8AR",9750
"18, Bondgate Within, Alnwick, Northumberland, NE66 1TD",11000
"Anglers Arms Weldon Bridge, Longframlington, Morpeth, Northumberland, NE65 8AX",36250
"Weldon Gun Room, High Weldon, Longframlington, Morpeth, Northumberland, NE65 8AY",5500
"Brinkburn Priory, Brinkburn, Longframlington, Morpeth, NE65 8AR",1000
"Brinkburn Priory, Brinkburn, Longframlington, Morpeth, NE65 8AR",1000
"Dunstanburgh Castle, Dunstanburgh Road, Craster, Alnwick, Northumberland, NE66 3TT",500
"Dunstanburgh Castle, Dunstanburgh Road, Craster, Alnwick, Northumberland, NE66 3TT",500
"Warkworth Castle And Hermitage, Warkworth, Morpeth, Northumberland, NE66 0UJ",2500
"Warkworth Castle And Hermitage, Warkworth, Morpeth, Northumberland, NE66 0UJ",2500
"Adjacent, 1 Cottage, Christon Bank Farm, Christon Bank, Alnwick, Northumberland, NE66 3EZ",2125
"1, Dunstanburgh Road, Craster, Alnwick, Northumberland, NE66 3TT",3800
"The Haven, Back Crofts, Rothbury, Morpeth, Northumberland, NE65 7YA",6200
"Brinkburn Kennels, Hope Farm, Longframlington, Morpeth, Northumberland, NE65 7XR",3200
"Coquetdale Kennels & Cattery, Middleheugh, Longhorsley, Morpeth, Northumberland, NE65 8AT",8500
"Newton Point, Newton By The Sea, Alnwick, Northumberland, NE66 3ED",7200
"Unit A, Market Place, Alnwick, Northumberland, NE66 1HS",5000
"Unit 7, Lee Moor Business Park, Rennington, Alnwick, Northumberland, NE66 3RL",2375
