	seqId	date	category	value
3849	1695	1993-12-29	3.0	0.06
4284	793	1993-01-03	2.0	0.08
4285	793	1993-01-05	1.0	0.3401
4287	793	1993-02-05	1.0	0.3401
4289	793	1993-03-05	1.0	0.3401
4291	793	1993-04-05	1.0	0.3401
4293	793	1993-05-05	1.0	0.3401
4294	793	1993-05-07	0.0	0.0204
4295	793	1993-05-10	3.0	0.021
4296	793	1993-05-11	0.0	0.0851
4297	793	1993-05-12	0.0	0.1212
4298	793	1993-05-15	3.0	0.066
4300	793	1993-05-31	3.0	0.00146
4301	793	1993-06-05	1.0	0.3401
4302	793	1993-06-07	0.0	0.0204
4303	793	1993-06-11	0.0	0.0851
4304	793	1993-06-12	0.0	0.1212
4305	793	1993-06-25	3.0	0.075
4307	793	1993-06-30	3.0	0.00146
4308	793	1993-07-05	1.0	0.3401
4309	793	1993-07-07	0.0	0.0204
4310	793	1993-07-11	0.0	0.0851
4311	793	1993-07-12	0.0	0.1212
4312	793	1993-07-13	3.0	0.111
4314	793	1993-07-31	3.0	0.00146
4315	793	1993-08-05	1.0	0.3401
4316	793	1993-08-07	0.0	0.0204
4317	793	1993-08-11	0.0	0.0851
4318	793	1993-08-12	0.0	0.1212
4320	793	1993-08-31	3.0	0.00146
4321	793	1993-09-05	1.0	0.3401
4322	793	1993-09-07	0.0	0.0204
4323	793	1993-09-11	0.0	0.0851
4324	793	1993-09-11	3.0	0.105
4325	793	1993-09-12	0.0	0.1212
4326	793	1993-09-29	3.0	0.018
4328	793	1993-09-30	3.0	0.00146
4329	793	1993-10-05	1.0	0.3401
4330	793	1993-10-07	0.0	0.0204
4331	793	1993-10-11	0.0	0.0851
4332	793	1993-10-12	0.0	0.1212
4334	793	1993-10-31	3.0	0.00146
4335	793	1993-11-05	1.0	0.3401
4336	793	1993-11-07	0.0	0.0204
4337	793	1993-11-11	0.0	0.0851
4338	793	1993-11-12	0.0	0.1212
4340	793	1993-11-30	3.0	0.00146
4341	793	1993-12-05	1.0	0.3401
4342	793	1993-12-06	3.0	0.021
4343	793	1993-12-07	0.0	0.0204
4344	793	1993-12-11	0.0	0.0851
4345	793	1993-12-12	0.0	0.1212
4347	793	1993-12-31	3.0	0.00146
4781	1726	1993-01-03	2.0	0.1
4782	1726	1993-01-13	2.0	1.3967
4784	1726	1993-02-02	2.0	0.6
4785	1726	1993-02-13	2.0	1.3967
4787	1726	1993-03-04	3.0	0.32
4788	1726	1993-03-13	2.0	1.3967
4790	1726	1993-04-03	3.0	1.16
4791	1726	1993-04-13	2.0	1.3967
4793	1726	1993-05-03	3.0	1.08
4794	1726	1993-05-13	2.0	1.3967
4796	1726	1993-05-31	3.0	0.00146
4797	1726	1993-06-02	3.0	1.52
4798	1726	1993-06-05	0.0	0.0115
4799	1726	1993-06-07	0.0	0.2082
4800	1726	1993-06-08	0.0	0.0074
4801	1726	1993-06-12	0.0	0.4438
4802	1726	1993-06-13	2.0	2.095
4803	1726	1993-06-21	3.0	3.184
4804	1726	1993-06-26	3.0	0.48
4806	1726	1993-06-30	3.0	0.00146
4807	1726	1993-07-02	2.0	0.72
4808	1726	1993-07-05	0.0	0.0115
4809	1726	1993-07-07	0.0	0.2082
4810	1726	1993-07-08	0.0	0.0074
4811	1726	1993-07-12	0.0	0.4438
4812	1726	1993-07-13	2.0	1.3967
4814	1726	1993-07-31	3.0	0.00146
4815	1726	1993-08-01	3.0	0.31
4816	1726	1993-08-05	0.0	0.0115
4817	1726	1993-08-07	0.0	0.2082
4818	1726	1993-08-08	0.0	0.0074
4819	1726	1993-08-12	0.0	0.4438
4820	1726	1993-08-13	2.0	1.3967
4822	1726	1993-08-31	3.0	0.3
4823	1726	1993-08-31	3.0	0.00146
4824	1726	1993-09-05	0.0	0.0115
4825	1726	1993-09-07	0.0	0.2082
4826	1726	1993-09-08	0.0	0.0074
4827	1726	1993-09-12	0.0	0.4438
4828	1726	1993-09-13	2.0	1.3967
4829	1726	1993-09-16	3.0	0.54
4831	1726	1993-09-30	3.0	0.09
4832	1726	1993-09-30	3.0	0.00146
4833	1726	1993-10-05	0.0	0.0115
4834	1726	1993-10-07	0.0	0.2082
4835	1726	1993-10-08	3.0	0.168
4836	1726	1993-10-08	0.0	0.0074
4837	1726	1993-10-12	0.0	0.4438
4838	1726	1993-10-13	2.0	1.3967
4839	1726	1993-10-30	3.0	0.79
4841	1726	1993-10-31	3.0	0.00146
4842	1726	1993-11-05	0.0	0.0115
4843	1726	1993-11-07	0.0	0.2082
4844	1726	1993-11-08	0.0	0.0074
4845	1726	1993-11-12	0.0	0.4438
4846	1726	1993-11-13	2.0	1.3967
4847	1726	1993-11-29	3.0	0.37
4849	1726	1993-11-30	3.0	0.00146
4850	1726	1993-12-05	0.0	0.0115
4851	1726	1993-12-07	0.0	0.2082
4852	1726	1993-12-08	0.0	0.0074
4853	1726	1993-12-12	0.0	0.4438
4854	1726	1993-12-13	2.0	2.095
4855	1726	1993-12-22	3.0	0.416
4856	1726	1993-12-29	3.0	0.65
4858	1726	1993-12-31	3.0	0.00146
5383	485	1993-01-04	2.0	0.03
5384	485	1993-01-16	2.0	1.3156
5385	485	1993-01-26	2.0	1.2336
5387	485	1993-02-03	3.0	2.53
5388	485	1993-02-03	2.0	4.5647
5389	485	1993-02-08	2.0	2.0066
5391	485	1993-03-04	3.0	0.81
5392	485	1993-03-04	2.0	1.8451
5393	485	1993-03-05	3.0	2.53
5394	485	1993-03-06	0.0	0.1591
5395	485	1993-03-07	0.0	0.3572
5396	485	1993-03-08	0.0	0.7421
5397	485	1993-03-15	2.0	0.5697
5398	485	1993-03-26	2.0	4.9112
5399	485	1993-03-26	3.0	0.5166
5400	485	1993-03-31	3.0	0.01
5401	485	1993-03-31	3.0	1.9168
5403	485	1993-04-04	3.0	2.11
5404	485	1993-04-06	0.0	0.1591
5405	485	1993-04-07	0.0	0.3572
5406	485	1993-04-08	0.0	0.7421
5407	485	1993-04-17	3.0	1.4491
5408	485	1993-04-30	3.0	0.01
5410	485	1993-05-04	2.0	0.05
5411	485	1993-05-06	0.0	0.1591
5412	485	1993-05-06	2.0	2.95
5413	485	1993-05-07	0.0	0.3572
5414	485	1993-05-08	0.0	0.7421
5415	485	1993-05-16	3.0	0.4661
5416	485	1993-05-17	2.0	4.5529
5417	485	1993-05-17	2.0	2.0707
5418	485	1993-05-19	3.0	5.89
5419	485	1993-05-19	2.0	1.0178
5420	485	1993-05-22	3.0	0.18
5421	485	1993-05-23	3.0	0.9007
5422	485	1993-05-31	3.0	0.01
5424	485	1993-06-03	3.0	1.03
5425	485	1993-06-06	0.0	0.1591
5426	485	1993-06-07	0.0	0.3572
5427	485	1993-06-08	0.0	0.7421
5428	485	1993-06-15	2.0	0.7987
5429	485	1993-06-20	2.0	2.8835
5430	485	1993-06-22	3.0	1.44
5431	485	1993-06-26	3.0	0.51
5432	485	1993-06-27	2.0	2.7061
5433	485	1993-06-30	3.0	0.01
5435	485	1993-07-03	3.0	1.78
5436	485	1993-07-06	0.0	0.1591
5437	485	1993-07-07	0.0	0.3572
5438	485	1993-07-08	2.0	2.321
5439	485	1993-07-08	0.0	0.7421
5440	485	1993-07-18	2.0	3.987
5441	485	1993-07-28	3.0	0.84
5442	485	1993-07-31	3.0	0.01
5444	485	1993-08-02	3.0	3.0
5445	485	1993-08-06	0.0	0.1591
5446	485	1993-08-07	0.0	0.3572
5447	485	1993-08-08	0.0	0.7421
5448	485	1993-08-16	2.0	1.4875
5449	485	1993-08-24	3.0	0.45
5450	485	1993-08-31	3.0	0.01
5452	485	1993-09-01	3.0	1.69
5453	485	1993-09-06	0.0	0.1591
5454	485	1993-09-07	0.0	0.3572
5455	485	1993-09-08	0.0	0.7421
5456	485	1993-09-14	2.0	2.3993
5457	485	1993-09-18	2.0	4.6324
5458	485	1993-09-30	2.0	1.9262
5459	485	1993-09-30	3.0	0.01
5460	485	1993-09-30	3.0	3.58
5462	485	1993-10-01	3.0	2.78
5463	485	1993-10-06	0.0	0.1591
5464	485	1993-10-07	0.0	0.3572
5465	485	1993-10-08	0.0	0.7421
5466	485	1993-10-17	2.0	1.1642
5467	485	1993-10-24	2.0	2.518
5468	485	1993-10-24	2.0	0.6425
5469	485	1993-10-30	3.0	5.14
5470	485	1993-10-30	2.0	3.1109
5471	485	1993-10-31	3.0	1.69
5472	485	1993-10-31	3.0	0.01
5474	485	1993-11-06	0.0	0.1591
5475	485	1993-11-07	0.0	0.3572
5476	485	1993-11-08	0.0	0.7421
5477	485	1993-11-30	3.0	0.16
5478	485	1993-11-30	3.0	0.01
5480	485	1993-12-02	2.0	2.9719
5481	485	1993-12-06	0.0	0.1591
5482	485	1993-12-07	0.0	0.3572
5483	485	1993-12-08	0.0	0.7421
5484	485	1993-12-15	3.0	0.15
5485	485	1993-12-20	2.0	3.8512
5486	485	1993-12-29	2.0	1.4315
5487	485	1993-12-30	3.0	3.5
