DFE Code,Previous DFE Code,School Name,Executive headteacher,Headteacher,Address 1,Address 2,Address 3,Post Code,School Wards,Website,Telephone,Fax,NOR,Status,Type
5406,,Brighouse High School,,Elizabeth Cresswell,Finkil Street,,BRIGHOUSE,HD6 2NY,Brighouse,http://www.brighouse.calderdale.sch.uk,01484 710408,01484 400638,1399,ACAD,S
2053,,Burnley Road Academy,,Clare Cope,Burnley Road,Mytholmroyd,HEBDEN BRIDGE,HX7 5DE,Luddendenfoot,http://www.burnleyroadacademy.org,01422 883034,01422 886633,260,ACAD,P
4022,,Calder Learning Trust (secondary phase),,Tony Guise,Brier Hey Lane,Mytholmroyd,HEBDEN BRIDGE,HX7 5QN,Luddendenfoot,http://www.calderhigh.org.uk,01422 883213,01422 881876,1112,F,S
4022,,Calder Learning Trust (primary phase),,Kate Lambert,Brier Hey Lane,Mytholmroyd,HEBDEN BRIDGE,HX7 5QN,Luddendenfoot,http://www.craggvale.calderdale.sch.uk,01422 883213,,49,F,P
1101,,Calderdale PRU (Pupil Referral Unit),,Philip Hannah,,,,,Illingworth and Mixenden,http://www.pru.calderdale.sch.uk/,,,,,PRU
2042,,Carr Green Primary School,,Paul Mashinter,Carr Green Lane,Rastrick,BRIGHOUSE,HD6 3LT,Rastrick,http://www.carrgreenschool.org.uk,01484 715969,01484 380045,352,C,P
2068,,Castle Hill Primary School,,Janet Leggett,Halifax Road,,TODMORDEN,OL14 5SQ,Calder,http://www.castlehillprimary.co.uk,01706 813163,01706 815376,288,C,P
2054,,Central Street Infant & Nursery School,Jenny Melling,,Central Street,,HEBDEN BRIDGE,HX7 6HB,Calder,http://www.centralstreet.org.uk,01422 842784,01422 846851,69,C,I
3001,,Christ Church (Pellon) CE (VC) Primary School,,Emma Midgley,Sandbeds Road,Pellon,HALIFAX,HX2 0QQ,Warley,http://www.christchurch-pellon.calderdale.sch.uk,01422 350792,01422 350792,194,VC,P
3323,,Christ Church CE (VA) Junior School (Sowerby Bridge),,Alison Embleton,Park Road,,SOWERBY BRIDGE,HX6 2BJ,Sowerby Bridge,http://www.christchurchjuniors.org.uk,01422 832454,01422 831947,131,VA,J
2076,,Cliffe Hill Community Primary School,,Lindsay Lomas,Stoney Lane,Lightcliffe,HALIFAX,HX3 8TW,Hipperholme and Lightcliffe,http://www.cliffehill.calderdale.sch.uk,01422 202086,01422 205286,197,C,P
2059,,Colden J & I School,,Sarah Hetherington (acting),Smithy Lane,Colden,HEBDEN BRIDGE,HX7 7HW,Calder,http://www.colden.calderdale.sch.uk,01422 842438,01422 845630,79,C,P
2006,,Copley Primary School,Nan Oldfield,Nan Oldfield,Wakefield Road,Copley,HALIFAX,HX3 0TP,Skircoat,http://www.copleyprimarycalderdale.org.uk,01422 354209,01422 369910,234,C,P
2069,,"Cornholme J, I & N School",,Adam Sapey,Greenfield Terrace,Cornholme,TODMORDEN,OL14 8PL,Todmorden,http://www.cornholmeschool.info,01706 812787,01706 812787,229,C,P
2087,,Cross Lane Primary and Nursery School,,Viv Watson,Cross Lane,,ELLAND,HX5 0LP,Elland,http://www.crosslaneprimary.co.uk,01422 372614,01422 373847,320,C,P
2011,2007,Dean Field Community Primary School,,Fiona Pether (interim),Cousin Lane,Ovenden,HALIFAX,HX2 8DQ,Ovenden,http://www.deanfieldschool.co.uk,01422 258258,01422 258258,227,ACAD,P
3318,,"Elland CE (VA) J, I & N School",,Chris Wightman (interim),Westgate,,ELLAND,HX5 0BB,Elland,http://www.elland.calderdale.sch.uk,01422 373159,01422 311568,215,VA,P
2003,,Ferney Lee Primary School,,Jonathan Moss (interim),Ferney Lee Road,,TODMORDEN,OL14 5NR,Todmorden,http://www.ferneylee.calderdale.sch.uk/,01706 254848,01706 839998,213,C,P
2000,,Field Lane Primary (Brighter Futures Academy Trust),Rebecca Denham,Vanessa Dear,Burnsall Road,Rastrick,BRIGHOUSE,HD6 3JT,Rastrick,http://www.fieldlaneprimary.org.uk/,01484 713792,01484 401915,154,ACAD,P
3319,,Hebden Royd CE (VA) Primary School,,Gretl Young,Church Lane,,HEBDEN BRIDGE,HX7 6DS,Calder,http://www.hebdenroydprimary.org.uk,01422 842821,01422 845905,150,VA,P
2058,,"Heptonstall J, I & N School",,David Perrin,Smithwell Lane,Heptonstall,HEBDEN BRIDGE,HX7 7NX,Calder,http://www.heptonstallschool.org.uk,01422 842533,01422 842533,111,C,P
7010,,Highbury School,,Debbie Sweet,Lower Edge Road,Rastrick,BRIGHOUSE,HD6 3LD,Rastrick,http://www.highburyschool.co.uk,01484 716319,01484 721893,71,CS,P (Sp)
3331,,"Holy Trinity Primary School, a Church of England Academy",,Liz Whetham,Savile Park Road,,HALIFAX,HX1 2ES,Skircoat,http://www.holytrinitycofecalderdale.org.uk/,01422 367161,01422 250113,407,ACAD,P
2050,,Holywell Green Primary School,,Paul McVeigh,Stainland Road,Holywell Green,HALIFAX,HX4 9AE,Greetland and Stainland,http://www.holywellgreenschool.co.uk,01422 374369,01422 310556,241,C,P
2010,,Lee Mount Primary School,,Sue Barraclough (acting),Lee Mount Road,,HALIFAX,HX3 5EB,Ovenden,http://www.leemount.calderdale.sch.uk,01422 352856,,374,C,P
5404,,Lightcliffe Academy,Carol Kitson,Thomas Rothwell,Stoney Lane,Lightcliffe,HALIFAX,HX3 8TL,Hipperholme and Lightcliffe,http://www.lightcliffeacademy.co.uk/,01422 201028,01422 204615,1415,ACAD,S
5204,,Lightcliffe CE Primary School,,Charles Woodbridge,Wakefield Road,Lightcliffe,HALIFAX,HX3 8SH,Hipperholme and Lightcliffe,http://www.lightcliffe.co.uk,01422 202235,01422 200146,421,ACAD,P
2033,,"Ling Bob J, I & N School",,Philip Simpson,Albert Road,Pellon,HALIFAX,HX2 0QD,Warley,http://http://www.lingbob.calderdale.sch.uk/,01422 434000,01422 434001,378,C,P
5207,,Longroyde Primary School,,Robert Fox,Longroyde Road,Rastrick,BRIGHOUSE,HD6 3AS,Rastrick,http://www.longroyde.weebly.com,01484 715300,01484 401810,415,F,P
3014,,Luddenden CE School,,Lisa Hoyle,Dene View,Luddendenfoot,HALIFAX,HX2 6PB,Luddendenfoot,http://www.luddenden-ce.calderdale.sch.uk,01422 886353,01422 886354,205,VC,P
2064,,Luddendenfoot Academy,Rebecca Denham,Rebecca Denham,Burnley Road,Luddendenfoot,HALIFAX,HX2 6AU,Luddendenfoot,http://www.luddendenfoot.org.uk,01422 882298,01422 882298,148,ACAD,P
2065,,Midgley School,,Joanne Mansfield ,Lane Ends,Midgley,HALIFAX,HX2 6TX,Luddendenfoot,http://www.midgleyschool.org.uk,01422 882356,01422 881192,102,C,P
3332,,Moorside Community Primary School,,Dani Worthington,Keighley Road,Ovenden,HALIFAX,HX2 8AP,Ovenden,http://www.moorside-primary.org.uk,01422 365236,01422 366610,261,C,P
2002,,Mount Pellon Primary Academy,Chris Walton,Chris Walton,Battinson Road,,HALIFAX,HX1 4RG,Warley,http://www.mountpellonacademy.org,01422 349618,01422 342569,540,ACAD,P
2066,,New Road Primary School,Nan Oldfield,Sharon Harwood,Sowerby New Road,,SOWERBY BRIDGE,HX6 1DY,Sowerby Bridge,http://www.newroadprimarycalderdale.org.uk,01422 831351,01422 831862,144,C,P
3010,,Norland CE School,,Janet Clayton,Berry Moor Road,Norland,SOWERBY BRIDGE,HX6 3RN,Greetland and Stainland,http://www.norland.calderdale.sch.uk,01422 831602,01422 831602,97,VC,P
2015,,Northowram Primary School,,Jane Scardifield (acting),Baxter Lane,Northowram,HALIFAX,HX3 7EF,Northowram and Shelf,http://northowram.calderdale.sch.uk/,01422 202704,01422 201728,475,C,P
2083,,Old Earth School,,Paul Reynolds,Lower Edge Road,,ELLAND,HX5 9PL,Elland,http://www.oldearth.co.uk,01422 375316,,464,ACAD,P
2075,,Old Town Primary School,,Joanne Buckley,Billy Lane,Wadsworth,HEBDEN BRIDGE,HX7 8RY,Calder,http://www.oldtown.calderdale.sch.uk,01422 842859,01422 842859,102,C,P
4004,4001,Park Lane Learning Trust,,Lisa Corrigan,Park Lane,Exley,HALIFAX,HX3 9LG,Town,http://www.parklanelearningtrust.org/,01422 362215,01422 301050,445,ACAD,S
2017,,Parkinson Lane Community Primary School,,Gulfaraz Ahmed,Parkinson Lane,,HALIFAX,HX1 3XL,Park,http://www.parkinsonlane.com,01422 362227,01422 250104,572,C,P
5402,,Rastrick High School,,Steve Evans,Field Top Road,Rastrick,BRIGHOUSE,HD6 3XB,Rastrick,http://www.rastrick.calderdale.sch.uk,01484 710235,01484 720043,1476,ACAD,S
7009,,Ravenscliffe High School and Sports College,,Martin Moorman,Skircoat Green,,HALIFAX,HX3 0RZ,Skircoat,http://www.ravenscliffe.calderdale.sch.uk,01422 358621,01422 329621,163,CS,S (Sp)
2061,,Ripponden J & I School,,Lorraine Bamforth,Halifax Road,Ripponden,SOWERBY BRIDGE,HX6 4AH,Ryburn,http://www.ripponden.calderdale.sch.uk,01422 823362,01422 825154,222,C,P
2082,,Riverside Junior School,Cathy Greenaway,Rachel Burton,Holme Street,,HEBDEN BRIDGE,HX7 8EE,Calder,http://www.riversidejunior.co.uk,01422 842154,01422 842154,153,C,J
5408,,Ryburn Valley High School,,David Lord,St Peter's Avenue,,SOWERBY BRIDGE,HX6 1DF,Ryburn,http://www.rvhs.co.uk,01422 832070,01422 833386,1420,ACAD,S
3328,,Sacred Heart Catholic Primary School (Sowerby Bridge),,Sue McManamin,St Peter's Avenue,,SOWERBY BRIDGE,HX6 1BL,Ryburn,http://www.sacredheart.calderdale.sch.uk,01422 831360,01422 839734,190,ACAD,P
2021,,Salterhebble J & I School,,Belinda Kerfoot-Roberts,Stafford Square,,HALIFAX,HX3 0AU,Skircoat,http://www.salterhebble.calderdale.sch.uk,01422 252004,01422 254150,205,C,P
5200,,Salterlee Academy Trust,,Mark Scott,Kell Lane,Shibden,HALIFAX,HX3 7AY,Northowram and Shelf,http://www.salterlee.calderdale.sch.uk,01422 365464,01422 365464,99,ACAD,P
2009,,Savile Park Primary School,,Jayne Boylan,Moorfield Street,,HALIFAX,HX1 3ER,Skircoat,http://savileparkprimary.org.uk,01422 352844,01422 893506,280,C,P
2056,,Scout Road Academy,,Anne Stamp,Scout Road,Mytholmroyd,HEBDEN BRIDGE,HX7 5JR,Luddendenfoot,http://www.scoutroadacademy.org.uk,01422 883327,01422 883327,99,ACAD,P
2073,,Shade Primary School,,Helen Clarkson,Knowlwood Road,Shade,TODMORDEN,OL14 7PD,Todmorden,http://www.shade.calderdale.sch.uk/,01706 812913,,232,C,P
2060,,Shelf J & I School,,Sian Fenton,Shelf Hall Lane,Shelf,HALIFAX,HX3 7LT,Northowram and Shelf,http://www.shelfjandi.com,01274 676782,01274 676782,312,C,P
2094,,Siddal Primary (Brighter Futures Academy Trust),Rebecca Denham,Caroline Howarth (acting),Backhold Lane,Siddal,HALIFAX,HX3 7LT,Northowram and Shelf,http://www.siddalprimary.org.uk,01422 354976,01422 356454,255,ACAD,P
2095,,Sowerby Village CE (VC) Primary School,,Lynsey Mitchell,St Peter's Avenue,Sowerby,SOWERBY BRIDGE,HX6 1HB,Ryburn,http://www.sowerbyvillage.org.uk,01422 831971,N/A,169,VC,P
3315,,St Andrew's CE (VA) Infant School (Brighouse),Naomi Wood,Jo Swallow (acting),Lightcliffe Road,,BRIGHOUSE,HD6 2HH,Brighouse,http://www.st-andrews-inf.calderdale.sch.uk,01484 714964,01484 723631,165,VA,I
3314,,St Andrew's CE (VA) Junior School (Brighouse),,Karen Smith,Waterloo Road,,BRIGHOUSE,HD6 2AN,Brighouse,http://www.standrews.calderdale.sch.uk,01484 712895,01484 381069,240,VA,J
3303,,St Augustine's CE (VA) J & I School (Halifax),,Leona Binner,Hanson Lane,,HALIFAX,HX1 5PG,Park,http://www.st-augustines.calderdale.sch.uk,01422 360615,01422 356323,185,VA,P
5206,,St Chad's CE (VA) Primary School,,Graeme Genty,Upper Green Lane,Hove Edge,BRIGHOUSE,HD6 2PA,Brighouse,http://www.st-chads.calderdale.sch.uk,01484 712361,01484 711638,210,VA,P
5203,,"St John's (CE) Primary Academy, Clifton",,Helen Lever,Towngate,Clifton,BRIGHOUSE,HD6 4HP,Brighouse,http://www.stjohnsacademyclifton.co.uk,01484 713036,01484 722201,207,ACAD,P
3322,,St John's CE Primary School (Rishworth),,Joanna Wasyliw,Godly Lane,Rishworth,SOWERBY BRIDGE,HX6 4QR,Ryburn,http://www.stjohnsrishworth.org.uk,01422 822596,N/A,140,ACAD,P
3329,,St Joseph's Catholic Primary School (Brighouse),,Mary Hodges,Finkil Street,,BRIGHOUSE,HD6 2NT,Brighouse,http://www.stjosephsbrighouse.org.uk,01484 713037,01484 400496,228,VA,P
3305,,St Joseph's Catholic Primary School (Halifax),,Liz McHale (acting),Portland Road,,HALIFAX,HX3 6LA,Northowram and Shelf,http://www.st-josephs.calderdale.sch.uk,01422 360646,01422 342858,192,VA,P
3330,,St Joseph's RC Primary School (Todmorden),,Liz Lloyd,Wellington Road,,TODMORDEN,OL14 5HP,Todmorden,http://www.st-josephs-tod.org.uk,01706 812948,01706 811870,139,VA,P
3306,,St Malachy's Catholic Primary School,,Annie McNally,Furness Place,Illingworth,HALIFAX,HX2 8JY,Ovenden,http://www.stmalachysprimary.org.uk,01422 244628,01422 242088,202,ACAD,P
3308,,St Mary's Catholic Primary School (Halifax),,Mark Brennan,Swires Road,,HALIFAX,HX1 2ER,Skircoat,http://www.stmaryshalifax.co.uk,01422 362365,01422 255116,289,VA,P
3011,,St Mary's CE (VC) J & I School (Sowerby Bridge),,Matthew Hopkins,Lumb Lane,Mill Bank,SOWERBY BRIDGE,HX6 3EJ,Ryburn,http://www.st-marys.calderdale.sch.uk,01422 823353,01422 823353,104,VC,P
5202,,St Michael & All Angels CE Primary School,,Claire Berry,"Meadow Close, Greenacres,",Shelf,HALIFAX,HX3 7QU,Northowram and Shelf,http://www.st-michaelangels.calderdale.sch.uk,01274 676246,01274 691097,202,F,P
3327,,St Patrick's Catholic Primary School (Elland),,Lianne Lomas,Hullen Edge Road,,ELLAND,HX5 0QY,Elland,http://www.stpatselland.org.uk,01422 373104,01422 373651,133,VA,P
2057,,Stubbings Infant School,Jennifer Melling,,School Street,,HEBDEN BRIDGE,HX7 8BP,Calder,http://www.stubbingsinfantschool.co.uk,01422 842728,N/A,90,C,I
5405,,The Brooksbank School Sports College,,Kevin McCallion,Victoria Road,,ELLAND,HX5 0QG,Elland,http://www.bbs.calderdale.sch.uk,01422 374791,01422 310945,1687,ACAD,S
5401,,The Crossley Heath School,,Lynette Cassidy,Savile Park,,HALIFAX,HX3 0HG,Skircoat,http://www.crossleyheath.org.uk,01422 360272,01422 349099,1138,ACAD,S
2049,,The Greetland Academy ,Amanda Bennett,Helen Crowther,"(Main School), School Street",Greetland,HALIFAX,HX4 8JB,Greetland and Stainland,http://www.greetlandacademy.org.uk,01422 372893,01422 377125,420,ACAD,P
4035,,The Halifax Academy (primary phase),Mick Kay,Richard Shaw,Gibbet Street,,HALIFAX,HX2 0BA,Warley,http://http://www.thehalifaxacademy.org/,01422 301080,01422 301081,119,ACAD,P
4035,,The Halifax Academy (secondary phase),Mick Kay,Matt Perry,Gibbet Street,,HALIFAX,HX2 0BA,Warley,http://http://www.thehalifaxacademy.org/,01422 301080,01422 301081,937,ACAD,S
5400,,The North Halifax Grammar School,,Andrew Fisher,Moor Bottom Road,Illingworth,HALIFAX,HX2 9SU,Illingworth and Mixenden,http://www.nhgs.co.uk,01422 244625,01422 245237,1106,ACAD,S
3326,,"Todmorden CE (VA) J, I & N School",Chris Wightman,Alice Leadbitter,Burnley Road,,TODMORDEN,OL14 7BS,Todmorden,http://www.todmordenprimary.org.uk,01706 812019,01706 818967,242,VA,P
4026,,"Todmorden High School, Specialist Visual Arts College",Chris Taylor,Gill Shirt,Ewood Lane,,TODMORDEN,OL14 7DG,Todmorden,http://www.todhigh.co.uk,01706 813558,01706 814821,722,C,S
3013,,Triangle CE (VC) Primary School,,Gavin Davies,Butterworth Lane,Triangle,SOWERBY BRIDGE,HX6 3NJ,Ryburn,http://www.triangleprimary.org.uk,01422 831558,01422 836254,189,VC,P
6905,,Trinity Academy Halifax,Michael Gosling,Nick Robinson,Shay Lane,Holmfield,HALIFAX,HX2 9TZ,Illingworth and Mixenden,http://www.trinityacademyhalifax.org,01422 244890,01422 240033,1730,ACAD,S
4007,4024,Trinity Academy Sowerby Bridge,Michael Gosling,Charlie Johnson,Albert Road,,SOWERBY BRIDGE,HX6 2NW,Sowerby Bridge,http://www.sbhs.co.uk,01422 831011,01422 835962,780,ACAD,S
2067,,Tuel Lane Infant School,,Judy Shaw,Clay Street,,SOWERBY BRIDGE,HX6 2ND,Sowerby Bridge,http://www.tuellaneinfantschool.org.uk,01422 831221,N/A,154,C,I
2027,,Wainstalls School,,Linda Waugh,,Wainstalls,HALIFAX,HX2 7TE,Luddendenfoot,http://www.wainstalls.org.uk,01422 244804,01422 244804,177,ACAD,P
5208,,Walsden St Peter's CE (VC) Primary School,,Esther Logue / Emma Crowther,Rochdale Road,Walsden,TODMORDEN,OL14 6RN,Todmorden,http://www.walsden.calderdale.sch.uk,01706 812947,01706 819285,174,VC,P
2028,,Warley Road Primary School,,Gill Horner,Warley Road,,HALIFAX,HX1 3TG,Park,https://warleyroad.calderdale.sch.uk/,01422 353724,01422 353724,656,C,P
2030,,Warley Town School,,Anne Stead,Dark Lane,Warley,HALIFAX,HX2 7QD,Warley,http://www.warleytown.org.uk,01422 831592,01422 831594,139,C,P
2016,5205,West Vale Primary School,Amanda Bennett,Fiona Gardiner,Stainland Road,Greetland,HALIFAX,HX4 8LS,Greetland and Stainland,http://www.westvale.calderdale.sch.uk,01422 372804,01422 311330,173,ACAD,P
2031,,Whitehill Community Academy 3-11,,Jimmy Sayles (interim),Occupation Lane,Illingworth,HALIFAX,HX2 9RL,Illingworth and Mixenden,http://www.whitehillacademy.org/,01422 244471,01422 249389,667,ACAD,P
2046,,Withinfields Primary School,,Helen York,Law Lane,Southowram,HALIFAX,HX3 9QJ,Town,http://www.withinfields.calderdale.sch.uk,01422 363581,01422 344496,389,C,P
7008,,Wood Bank School,,Richard Pawson,Dene View,Luddendenfoot,HALIFAX,HX2 6PB,Luddendenfoot,http://www.woodbank.calderdale.sch.uk,01422 884170,01422 884671,70,CS,P (Sp)
2081,,Woodhouse Primary School,,Lynn Daveney,Daisy Road,,BRIGHOUSE,HD6 3SX,Rastrick,http://www.woodhouse.calderdale.sch.uk,01484 714750,01484 720347,417,C,P
