Type of Insurer,Company Name,Year,Assets,Liabilities,Premium Written
A&H,MedAmerica Insurance Company of New York,2016,741391007,721036625," 45,649,678 "
A&H,Medco Containment Insurance Company of New York,2016,67406730,11631125," 114,896,089 "
A&H,Mutual of Omaha Insurance Company,2016,7278931188,4230646642," 61,181,180 "
A&H,MVP Health Insurance Company,2016,31869870,6898671," 41,253,652 "
HMO,"MVP Health Plan, Inc.",2016,750000962,346149240," 2,483,954,999 "
A43,MVP Health Services Corp.,2016,135062352,65494493," 495,635,785 "
A&H,Northwestern Long Term Care Insurance Company,2016,172726124,90499151," 35,963,355 "
MCH,Orange-Ulster School Districts Plan,2016,54334337,59631870,"144,331,545 "
A&H,Oscar Insurance Corporation,2016,148758402,103543372," 252,042,236 "
A&H,"Oxford Health Insurance, Inc.",2016,2210786764,1018193067," 5,171,305,086 "
HMO,"Oxford Health Plans (NY), Inc.",2016,614806744,332372406," 1,708,264,994 "
A&H,Physicians Mutual Insurance Company,2016,2208570092,1289404177," 960,116 "
A43,"Pupil Benefits Plan, Inc.",2016,14250975,9517805," 8,945,637 "
MCH,Putnam/Northern Westchester Health Benefits Consortium,2016,63741807,35397429,"112,424,210 "
HMO,"Quality Health Plans of New York, Inc.",2016,4139329,12504876," 22,176,144 "
A&H,Renaissance Health Insurance Company of New York,2016,3145528,595282," 4,826,518 "
HMO,"Senior Whole Health of New York, Inc.",2016,78011840,51164550," 245,775,300 "
A&H,"Sierra Health and Life Insurance Co, Inc.",2016,2396904112,1219484542," 380,972,498 "
A&H,SilverScript Insurance Company,2016,2823572736,2024409956," 196,878,211 "
A&H,Solstice Health Insurance Company,2016,1439629,818183," 2,397,873 "
MCH,St. Lawrence-Lewis Counties School Districts Employees Medical Plan,2016,18034334,14261526,"73,187,582 "
MCH,State-Wide Schools Cooperative Health Plan,2016,88992045,39868496,"173,789,202 "
MCH,Steuben Area School Employees' Benefit Plan,2016,9470571,2710767,"17,363,490 "
HMO,"Touchstone Health HMO, Inc.",2016,12967352,9843271," 4,250,297 "
A&H,Trustmark Insurance Company,2016,1460155869,1165404624," 28,287,330 "
A&H,Tufts Insurance Company,2016,101583097,50893416," 3,449,879 "
A&H,United Concordia Insurance Company of New York,2016,5532441,818802," 7,254,462 "
A&H,UnitedHealthcare Insurance Company of New York,2016,1212296437,765826767," 3,312,735,871 "
HMO,"Unitedhealthcare of New York, Inc.",2016,1096249169,528244129," 3,880,407,676 "
A&H,"WellCare Health Insurance of New York, Inc.",2016,6106795,8931, -   
A&H,"WellCare Prescription Insurance, Inc.",2016,852868255,643415202," 50,049,736 "
AH,Accendo Insurance Company,2015,14292010,4571597, -   
HMO,Aetna Health Inc.,2015,275955315,77570118,"293,883,999"
AH,Aetna Health Insurance Company of New York,2015,10493738,328989,"485,752"
HMO,"Alphacare of New York, Inc.",2015,48214356,33222618,"102,422,039"
AH,American Independent Network Insurance Company of New York,2015,25380706,33660515,"2,468,022"
HMO,"Atlantis Health Plan, Inc.",2015,2194154,3268496,"3,843,973"
HMO,Capital District Physicians Health Plan,2015,478711918,185857197,"1,513,146,241"
AH,Care Improvement Plus of South Central Insurance Company,2015,900901751,585750014, -   
AH,Care Improvement Plus of TX Ins Co,2015,377003795,236497007,"-17,464"
HMO,"Catholic Special Needs Plan, LLC",2015,14859537,9086708,"46,182,621"
A43,"CDPHP Universal Benefits, Inc.",2015,176197487,94173086,"786,344,128"
AH,Commercial Travelers Mutual Insurance Company,2015,16616039,10163732,"1,617,733"
AH,"Crystal Run Health Insurance Company, Inc.",2015,6916452,4505319,"2,215,540"
HMO,"Crystal Run Health Plan, LLC",2015,8966414,1032894,"127,635"
HMO,Cuatro LLC,2015,5191993,10194754,"46,598,132"
AH,Delta Dental Insurance Company,2015,224795125,122048782,"20,935,454"
A43,"Delta Dental of New York, Inc.",2015,52024543,26517407,"161,539,924"
A43,"Dentcare Delivery Systems, Inc.",2015,17612992,7149543,"63,189,877"
A43,"Eastern Vision Service Plan, Inc.",2015,46955205,13506957,"85,916,262"
HMO,"Elderplan, Inc.",2015,170449909,126690767,"810,414,695"
AH,"Empire HealthChoice Assurance, Inc.",2015,2378894775,1450391539,"2,586,385,405"
HMO,"Empire HealthChoice HMO, Inc.",2015,615529920,373776962,"1,257,904,559"
AH,Envision Insurance Company,2015,332771467,281649433,"11,857,908"
A43,"Excellus Health Plan, Inc.",2015,3026525883,1967106608,"5,968,825,803"
AH,"Freelancers Insurance Company, Inc.",2015,6945842,2846267,"273,823"
A43,Group Health Incorporated,2015,602425621,388609023,"908,579,229"
AH,"Health Insurance Company of America, Inc.",2015,1827000,1105426,"297,820"
A43,Health Insurance Plan of Greater New York,2015,1644449969,960340203,"5,041,971,194"
AH,"Health Net Insurance of New York, Inc.",2015,16574642,78467, -   
HMO,"Healthfirst Health Plan, Inc. (formerly Managed Health, Inc.)",2015,614265591,372731163,"2,024,458,158"
A43,HealthNow New York Inc.,2015,1037761658,493314146,"2,254,845,435"
AH,Healthplex Insurance Company,2015,4628171,699316,"8,771,683"
AH,"HealthSpring Life & Health Insurance Company, Inc.",2015,613953794,286576831,"262,886"
AH,HIP Insurance Company of New York,2015,51562349,9028935,"19,927,099"
HMO,"Humana Health Company of New York, Inc.",2015,27890109,5361092,"42,643,205"
AH,Humana Insurance Company of New York,2015,106375550,49792271,"253,473,361"
HMO,"Independent Health Association, Inc.",2015,764742244,427436573,"1,497,502,990"
A43,Independent Health Benefits Corporation,2015,270181850,163149241,"589,183,901"
AH,MedAmerica Insurance Company of New York,2015,679214589,664486011,"46,759,729"
AH,Medco Containment Insurance Company of New York,2015,59435455,11817756,"98,261,960"
AH,Mutual of Omaha Insurance Company,2015,6945097641,4082327309,"70,151,067"
AH,MVP Health Insurance Company,2015,112039773,47926231,"212,883,849"
HMO,"MVP Health Plan, Inc.",2015,570712395,180785672,"1,531,541,250"
A43,MVP Health Services Corp.,2015,64611960,36596759,"187,907,757"
AH,North Shore LIJ CareConnect Insurance Company,2015,81832763,59794313,"127,285,262"
AH,Northwestern Long Term Care Insurance Company,2015,165970786,86472316,"33,701,286"
AH,Oscar Insurance Corporation,2015,118579807,97299244,"122,293,219"
AH,"Oxford Health Insurance, Inc.",2015,2194989136,937792154,"4,608,094,947"
HMO,"Oxford Health Plans (NY), Inc.",2015,821850209,347182471,"1,799,539,379"
AH,Physicians Mutual Insurance Company,2015,2106179396,1220656067,"782,795"
A43,"Pupil Benefits Plan, Inc.",2015,14267452,11210095,"10,247,311"
HMO,"Quality Health Plans of New York, Inc.",2015,5311874,4564875,"6,664,039"
AH,Renaissance Health Insurance Company of New York,2015,2912558,584057,"4,840,655"
AH,"Security Health Insurance Company of America, New York, Inc.",2015,2245414,740629,"5,370,874"
HMO,"Senior Whole Health of New York, Inc.",2015,53635978,36168409,"133,051,145"
AH,"Sierra Health and Life Insurance Co, Inc.",2015,1676627228,897649603,"36,378,451"
AH,SilverScript Insurance Company,2015,2385680862,1771965894,"190,549,943"
AH,Solstice Health Insurance Company,2015,5400489,3265857,"8,526,248"
HMO,"Touchstone Health HMO, Inc.",2015,24549321,22198961,"129,935,413"
AH,Trustmark Insurance Company,2015,1406836579,1120138893,"32,885,662"
AH,Tufts Insurance Company,2015,97790083,44354763,"172,631"
AH,United Concordia Insurance Company of New York,2015,5564622,870117,"6,979,019"
AH,UnitedHealthcare Insurance Company of New York,2015,1223334149,748934041,"2,855,705,839"
HMO,"Unitedhealthcare of New York, Inc.",2015,846115374,390260552,"3,029,294,630"
AH,"WellCare Health Insurance of New York, Inc.",2015,6082752,143, -   
AH,"WellCare Prescription Insurance, Inc.",2015,721215385,579927888,"53,663,646"
MCH,Allegany-Cattaraugus Schools Medical Health Plan,2015,29831913,12147753,"41,741,380"
MCH,Catskill Area Schools Employees Benefit Plan,2015,21857332,6961199,"39,481,902"
MCH,Cayuga-Onondaga Area School Employees' Healthcare Plan,2015,27330347,3264282,"24,786,609"
MCH,Chautauqua County School Districts' Medical Health Plan,2015,30878934,8869942,"49,809,684"
MCH,Greater Tompkins County Municipal Health Insurance Consortium,2015,15443004,4542305,"36,063,291"
MCH,Jefferson-Lewis et. al. School Employees Healthcare Plan,2015,37218064,10612878,"62,852,948"
MCH,Orange-Ulster School Districts Plan,2015,80585744,61444668,"129,594,701"
MCH,Putnam/Northern Westchester Health Benefits Consortium,2015,69653140,31690233,"106,098,384"
MCH,St. Lawrence-Lewis Counties School Districts Employees Medical Plan,2015,21143081,13154151,"69,856,022"
MCH,State-Wide Schools Cooperative Health Plan,2015,65270589,44564898,"154,525,874"
MCH,Steuben Area School Employees' Benefit Plan,2015,9344585,2404507,"13,923,549"
A&H,Accendo Insurance Company,2014,15817216,7009102,0
A&H,Aetna Health Insurance Company of New York,2014,10686193,528921,"1,238,215"
A&H,American Independent Network Insurance Company of New York,2014,27371738,25485604,"2,664,487"
A&H,Care Improvement Plus of South Central Insurance Company,2014,646874788,298289945,0
A&H,Care Improvement Plus of TX Ins Co,2014,287339726,122241307,"-2,632"
A&H,Commercial Travelers Mutual Insurance Company,2014,18038670,12096750,"1,838,670"
A&H,Delta Dental Insurance Company,2014,188265625,93089142,"18,761,239"
A&H,"Empire HealthChoice Assurance, Inc.",2014,2709039709,1578331044,"2,438,853,413"
A&H,Envision Insurance Company,2014,515036057,477390360,"11,742,007"
A&H,Express Scripts Insurance Company,2014,270827346,186836860,"11,781,519"
A&H,"Freelancers Insurance Company, Inc.",2014,37484566,24128520,"104,651,558"
A&H,"Health Insurance Company of America, Inc.",2014,1908753,1184576,"300,495"
A&H,"Health Net Insurance of New York, Inc.",2014,16750318,297743,0
A&H,Healthplex Insurance Company,2014,3678382,1057780,"7,857,803"
A&H,"HealthSpring Life & Health Insurance Company, Inc.",2014,581094615,253232446,"60,233,125"
A&H,HIP Insurance Company of New York,2014,87802699,48293599,"60,723,715"
A&H,Humana Insurance Company of New York,2014,98479090,39042405,"230,684,537"
A&H,MedAmerica Insurance Company of New York,2014,584492437,564288632,"46,291,230"
A&H,Medco Containment Insurance Company of New York,2014,59056369,8667922,"97,430,775"
A&H,Mutual of Omaha Insurance Company,2014,6426766074,3631108856,"68,982,126"
A&H,MVP Health Insurance Company,2014,117794941,40365284,"287,214,159"
A&H,North Shore LIJ CareConnect Insurance Company,2014,27512931,28895916,"44,907,234"
A&H,Northwestern Long Term Care Insurance Company,2014,161441477,84261005,"30,111,979"
A&H,Oscar Insurance Corporation,2014,59951955,32669401,"60,929,280"
A&H,"Oxford Health Insurance, Inc.",2014,1946587390,1029239433,"4,671,339,661"
A&H,Physicians Mutual Insurance Company,2014,2026151800,1180684893,"864,237"
A&H,Premier Access Insurance Company,2014,38218090,19578031,0
A&H,Renaissance Health Insurance Company of New York,2014,2343560,484691,"4,332,482"
A&H,"Security Health Insurance Company of America, New York, Inc.",2014,2007387,711370,"4,678,394"
A&H,"Sierra Health and Life Insurance Co, Inc.",2014,170074073,94489263,0
A&H,SilverScript Insurance Company,2014,2764215754,2316137741,"215,785,199"
A&H,Solstice Health Insurance Company,2014,1747588,1119049,"2,671,694"
A&H,Trustmark Insurance Company,2014,1393483997,1105809949,"31,205,657"
A&H,Tufts Insurance Company,2014,97547773,47079693,0
A&H,United Concordia Insurance Company of New York,2014,5341191,837244,"6,197,144"
A&H,UnitedHealthcare Insurance Company of New York,2014,1180265056,705138627,"2,676,584,710"
A&H,"WellCare Health Insurance of New York, Inc.",2014,12062689,306,0
A&H,"WellCare Prescription Insurance, Inc.",2014,822182837,713183655,"58,456,180"
HMDI,"CDPHP Universal Benefits, Inc.",2014,154026169,76520449,"750,664,831"
HMDI,"Delta Dental of New York, Inc.",2014,41755978,25438736,"154,971,046"
HMDI,"Dentcare Delivery Systems, Inc.",2014,20508554,10515308,"54,844,072"
HMDI,"Eastern Vision Service Plan, Inc.",2014,50566154,10956673,"86,915,556"
HMDI,"Excellus Health Plan, Inc.",2014,3046448389,1888821836,"5,937,256,446"
HMDI,Group Health Incorporated,2014,722764243,595296308,"1,816,024,678"
HMDI,Health Insurance Plan of Greater New York,2014,1930107195,1001492255,"5,085,723,404"
HMDI,"Health Republic Insurance of New York, Corp",2014,318167142,209224537,"545,977,050"
HMDI,Healthnow New York Inc.,2014,1041284147,554745597,"2,462,198,310"
HMDI,Independent Health Benefits Corporation,2014,167750434,60640065,"505,706,400"
HMDI,MVP Health Services Corp.,2014,65166029,37721790,"101,522,303"
HMDI,"Pupil Benefits Plan, Inc.",2014,12410505,10524657,"9,430,378"
HMO,Aetna Health Inc.,2014,285199591,108698250,"491,405,046"
HMO,"Alphacare of New York, Inc.",2014,41777891,18102843,"40,273,846"
HMO,"Atlantis Health Plan, Inc.",2014,5107269,9120141,"39,548,832"
HMO,Capital District Physicians Health Plan,2014,440683921,191760807,"1,428,803,217"
HMO,"Catholic Special Needs Plan, LLC",2014,12038283,7174218,"42,084,782"
HMO,Cuatro LLC,2014,6118175,6945372,"44,599,084"
HMO,"Elderplan, Inc.",2014,198553157,111983849,"775,637,930"
HMO,"Empire HealthChoice HMO, Inc.",2014,692877999,397838230,"1,369,006,485"
HMO,"Humana Health Company of New York, Inc.",2014,28312102,4230469,"13,215,499"
HMO,"Independent Health Association, Inc.",2014,668648188,284459424,"1,330,064,229"
HMO,"Managed Health, Inc.",2014,548699313,341835394,"1,778,133,087"
HMO,"MVP Health Plan, Inc.",2014,498224615,157679644,"1,625,683,116"
HMO,"Oxford Health Plans (NY), Inc.",2014,750142518,343496437,"2,021,205,757"
HMO,"Quality Health Plans of New York, Inc.",2014,2073195,1280605,"2,411,004"
HMO,"Senior Whole Health of New York, Inc.",2014,23084525,17461781,"53,169,761"
HMO,"Touchstone Health HMO, Inc.",2014,18457760,8857356,"157,871,443"
HMO,"Unitedhealthcare of New York, Inc.",2014,648157256,285148948,"2,480,427,364"
